times;values
0;200.1
1;199.5
2;199.4
3;198.9
4;199
5;200.2
6;198.6
7;200
8;200.3
9;201.2
10;201.6
11;201.5
12;201.5
13;203.5
14;204.9
15;207.1
16;210.5
17;210.5
18;209.8
19;208.8
20;209.5
21;213.2
22;213.7
23;215.1
24;218.7
25;219.8
26;220.5
27;223.8
28;222.8
29;223.8
30;221.7
31;222.3
32;220.8
33;219.4
34;220.1
35;220.6
36;218.9
37;217.8
38;217.7
39;215
40;215.3
41;215.9
42;216.7
43;216.7
44;217.7
45;218.7
46;222.9
47;224.9
48;222.2
49;220.7
50;220
51;218.7
52;217
53;215.9
54;215.8
55;214.1
56;212.3
57;213.9
58;214.6
59;213.6
60;212.1
61;211.4
62;213.1
63;212.9
64;213.3
65;211.5
66;212.3
67;213
68;211
69;210.7
70;210.1
71;211.4
72;210
73;209.7
74;208.8
75;208.8
76;208.8
77;210.6
78;211.9
79;212.8
80;212.5
81;214.8
82;215.3
83;217.5
84;218.8
85;220.7
86;222.2
87;226.7
88;228.4
89;233.2
90;235.7
91;237.1
92;240.6
93;243.8
94;245.3
95;246
96;246.3
97;247.7
98;247.6
99;247.8
100;249.4
101;249
102;249.9
103;250.5
104;251.5
105;249
106;247.6
107;248.8
108;250.4
109;250.7
110;253
111;253.7
112;255
113;256.2
114;256
115;257.4
116;260.4
117;260
118;261.3
119;260.4
120;261.6
121;260.8
122;259.8
123;259
124;258.9
125;257.4
126;257.7
127;257.9
128;257.4
129;257.3
130;257.6
131;258.9
132;257.8
133;257.7
134;257.2
135;257.5
136;256.8
137;257.5
138;257
139;257.6
140;257.3
141;257.5
142;259.6
143;261.1
144;262.9
145;263.3
146;262.8
147;261.8
148;262.2
149;262.7
