times;values
1363728120; 2.150000
1363728420; 6.515510
1363728720; 6.992915
1363729020; 3.270715
1363729320; -1.119299
1363729620; -2.048715
1363729920; 1.412487
1363730220; 6.141664
1363730520; 7.835408
1363730820; 4.967174
1363731120; 0.192022
1363731420; -2.093071
1363731720; 0.209707
1363732020; 4.971861
1363732320; 7.797176
1363732620; 6.065299
1363732920; 1.342656
1363733220; -2.055914
1363733520; -1.032382
1363733820; 3.447968
1363734120; 7.245802
1363734420; 6.855170
1363734720; 2.628547
1363735020; -1.545620
1363735320; -1.816409
1363735620; 2.090469
1363735920; 6.621781
1363736220; 7.664762
1363736520; 4.329380
1363736820; -0.232512
1363737120; -1.724282
1363737420; 1.345700
1363737720; 6.293010
1363738020; 8.725383
1363738320; 6.580928
1363738620; 2.023624
1363738920; -0.546610
1363739220; 1.460272
1363739520; 6.442444
1363739820; 10.078035
1363740120; 9.297600
1363740420; 5.104972
1363740720; 1.653029
1363741020; 2.424124
1363741320; 7.026893
1363741620; 11.554441
1363741920; 12.174633
1363742220; 8.651580
1363742520; 4.560727
1363742820; 3.999790
1363743120; 7.819521
1363743420; 12.839730
1363743720; 14.771375
1363744020; 12.158169
1363744320; 7.713844
1363744620; 5.825593
1363744920; 8.519049
1363745220; 13.594583
1363745520; 16.648416
1363745820; 15.120359
1363746120; 10.646717
1363746420; 7.555114
1363746720; 8.885103
1363747020; 13.593194
1363747320; 17.511994
1363747620; 17.181630
1363747920; 13.030858
1363748220; 8.983174
1363748520; 8.850045
1363748820; 12.827316
1363749120; 17.315973
1363749420; 18.232028
1363749720; 14.762450
1363750020; 10.113919
1363750320; 8.566003
1363750620; 11.538041
1363750920; 16.285800
1363751220; 18.426179
1363751520; 15.968746
1363751820; 11.147513
1363752120; 8.368800
1363752420; 10.161904
1363752720; 14.855480
1363753020; 18.115955
1363753320; 16.933528
1363753620; 12.391045
1363753920; 8.670036
1363754220; 9.207734
1363754520; 13.538298
1363754820; 17.722374
1363755120; 17.970053
1363755420; 14.126285
1363755720; 9.814264
1363756020; 9.104940
1363756320; 12.774704
1363756620; 17.591894
1363756920; 19.288102
1363757220; 16.482488
1363757520; 11.951087
1363757820; 10.074135
1363758120; 12.808313
1363758420; 17.887042
1363758720; 20.903450
1363759020; 19.360967
1363759320; 14.967459
1363759620; 12.063684
1363759920; 13.630974
1363760220; 18.548656
1363760520; 22.622754
1363760820; 22.440207
1363761120; 18.505055
1363761420; 14.773232
1363761720; 15.013683
1363762020; 19.341403
