times;values
1363875121; 2.000000
1363875122; 6.165510
1363875123; 6.442915
1363875124; 2.520715
1363875125; -2.069299
1363875126; -3.198715
1363875127; 0.062487
1363875128; 4.591664
1363875129; 6.085408
1363875130; 3.017174
1363875131; -1.957978
1363875132; -4.443071
1363875133; -2.340293
1363875134; 2.221861
1363875135; 4.847176
1363875136; 2.915299
1363875137; -2.007344
1363875138; -5.605914
1363875139; -4.782382
1363875140; -0.502032
1363875141; 3.095802
1363875142; 2.505170
1363875143; -1.921453
1363875144; -6.295620
1363875145; -6.766409
1363875146; -3.059531
1363875147; 1.271781
1363875148; 2.114762
1363875149; -1.420620
1363875150; -6.182512
1363875151; -7.874282
1363875152; -5.004300
1363875153; -0.256990
1363875154; 1.975383
1363875155; -0.369072
1363875156; -5.126376
1363875157; -7.896610
1363875158; -6.089728
1363875159; -1.307556
1363875160; 2.128035
1363875161; 1.147600
1363875162; -3.245028
1363875163; -6.896971
1363875164; -6.325876
1363875165; -1.923107
1363875166; 2.404441
1363875167; 2.824633
1363875168; -0.898420
1363875169; -5.189273
1363875170; -5.950210
1363875171; -2.330479
1363875172; 2.489730
1363875173; 4.221375
1363875174; 1.408169
1363875175; -3.236156
1363875176; -5.324407
1363875177; -2.830951
1363875178; 2.044583
1363875179; 4.898416
1363875180; 3.170359
1363875181; -1.503283
1363875182; -4.794886
1363875183; -3.664897
1363875184; 0.843194
1363875185; 4.561994
1363875186; 4.031630
1363875187; -0.319142
1363875188; -4.566826
1363875189; -4.899955
1363875190; -1.122684
1363875191; 3.165973
1363875192; 3.882028
1363875193; 0.212450
1363875194; -4.636081
1363875195; -6.383997
1363875196; -3.611959
1363875197; 0.935800
1363875198; 2.876179
1363875199; 0.218746
1363875200; -4.802487
1363875201; -7.781200
1363875202; -6.188096
1363875203; -1.694520
1363875204; 1.365955
1363875205; -0.016472
1363875206; -4.758955
1363875207; -8.679964
1363875208; -8.342266
1363875209; -4.211702
1363875210; -0.227626
1363875211; -0.179947
1363875212; -4.223715
1363875213; -8.735736
1363875214; -9.645060
1363875215; -6.175296
1363875216; -1.558106
1363875217; -0.061898
1363875218; -3.067512
1363875219; -7.798913
1363875220; -9.875865
1363875221; -7.341687
1363875222; -2.462958
1363875223; 0.353450
1363875224; -1.389033
1363875225; -5.982541
1363875226; -9.086316
1363875227; -7.719026
1363875228; -3.001344
1363875229; 0.872754
1363875230; 0.490207
1363875231; -3.644945
1363875232; -7.576768
1363875233; -7.536317
1363875234; -3.408597
1363875235; 1.159912
1363875236; 2.112056
1363875237; -1.291565
1363875238; -5.794433
1363875239; -7.139680
1363875240; -3.985275
1363875241; 0.860795
1363875242; 3.020985
1363875243; 0.571832
1363875244; -4.188512
1363875245; -6.853930
1363875246; -4.961866
1363875247; -0.257779
1363875248; 2.909416
1363875249; 1.585687
1363875250; -3.072035
1363875251; -6.859206
1363875252; -6.388794
1363875253; -2.204623
1363875254; 1.719460
1363875255; 1.634127
1363875256; -2.537173
1363875257; -7.126548
1363875258; -8.092502
1363875259; -4.734157
1363875260; -0.334028
1363875261; 0.861584
1363875262; -2.451631
1363875263; -7.435035
1363875264; -9.715060
1363875265; -7.402430
1363875266; -2.827348
1363875267; -0.395342
1363875268; -2.535114
1363875269; -7.463939
1363875270; -10.825110
1363875271; -9.691990
1363875272; -5.257371
1363875273; -1.735581
1363875274; -2.486737
1363875275; -6.926507
1363875276; -11.062539
1363875277; -11.164375
1363875278; -7.192753
1363875279; -2.835416
1363875280; -2.116517
1363875281; -5.696903
1363875282; -10.266795
1363875283; -11.589218
1363875284; -8.396064
1363875285; -3.554763
1363875286; -1.432918
1363875287; -3.883838
1363875288; -8.543839
1363875289; -11.006766
1363875290; -8.876453
1363875291; -3.971318
1363875292; -0.654172
1363875293; -1.822787
1363875294; -6.247465
1363875295; -9.703424
1363875296; -8.856853
1363875297; -4.331815
1363875298; -0.138280
1363875299; 0.012879
1363875300; -3.880052
1363875301; -8.109668
1363875302; -8.669544
1363875303; -4.939147
1363875304; -0.255652
1363875305; 1.153070
1363875306; -1.945486
1363875307; -6.656169
1363875308; -8.618670
1363875309; -6.016902
1363875310; -1.249064
1363875311; 1.277071
1363875312; -0.803353
1363875313; -5.637861
1363875314; -8.859435
1363875315; -7.600999
1363875316; -3.130681
1363875317; 0.314964
1363875318; -0.572945
1363875319; -5.132278
1363875320; -9.337346
1363875321; -9.498681
1363875322; -5.653583
