times;values
5901;315.42
5902;316.31
5903;316.50
5904;317.56
5905;318.13
5906;318.00
5907;316.39
5908;314.65
5909;313.68
5910;313.18
5911;314.66
5912;315.43
6001;316.27
6002;316.81
6003;317.42
6004;318.87
6005;319.87
6006;319.43
6007;318.01
6008;315.74
6009;314.00
6010;313.68
6011;314.84
6012;316.03
6101;316.73
6102;317.54
6103;318.38
6104;319.31
6105;320.42
6106;319.61
6107;318.42
6108;316.63
6109;314.83
6110;315.16
6111;315.94
6112;316.85
6201;317.78
6202;318.40
6203;319.53
6204;320.42
6205;320.85
6206;320.45
6207;319.45
6208;317.25
6209;316.11
6210;315.27
6211;316.53
6212;317.53
6301;318.58
6302;318.92
6303;319.70
6304;321.22
6305;322.08
6306;321.31
6307;319.58
6308;317.61
6309;316.05
6310;315.83
6311;316.91
6312;318.20
6401;319.41
6402;320.07
6403;320.74
6404;321.40
6405;322.06
6406;321.73
6407;320.27
6408;318.54
6409;316.54
6410;316.71
6411;317.53
6412;318.55
6501;319.27
6502;320.28
6503;320.73
6504;321.97
6505;322.00
6506;321.71
6507;321.05
6508;318.71
6509;317.66
6510;317.14
6511;318.70
6512;319.25
6601;320.46
6602;321.43
6603;322.23
6604;323.54
6605;323.91
6606;323.59
6607;322.24
6608;320.20
6609;318.48
6610;317.94
6611;319.63
6612;320.87
6701;322.17
6702;322.34
6703;322.88
6704;324.25
6705;324.83
6706;323.93
6707;322.38
6708;320.76
6709;319.10
6710;319.24
6711;320.56
6712;321.80
6801;322.40
6802;322.99
6803;323.73
6804;324.86
6805;325.40
6806;325.20
6807;323.98
6808;321.95
6809;320.18
6810;320.09
6811;321.16
6812;322.74
6901;323.83
6902;324.26
6903;325.47
6904;326.50
6905;327.21
6906;326.54
6907;325.72
6908;323.50
6909;322.22
6910;321.62
6911;322.69
6912;323.95
7001;324.89
7002;325.82
7003;326.77
7004;327.97
7005;327.91
7006;327.50
7007;326.18
7008;324.53
7009;322.93
7010;322.90
7011;323.85
7012;324.96
7101;326.01
7102;326.51
7103;327.01
7104;327.62
7105;328.76
7106;328.40
7107;327.20
7108;325.27
7109;323.20
7110;323.40
7111;324.63
7112;325.85
7201;326.60
7202;327.47
7203;327.58
7204;329.56
7205;329.90
7206;328.92
7207;327.88
7208;326.16
7209;324.68
7210;325.04
7211;326.34
7212;327.39
7301;328.37
7302;329.40
7303;330.14
7304;331.33
7305;332.31
7306;331.90
7307;330.70
7308;329.15
7309;327.35
7310;327.02
7311;327.99
7312;328.48
7401;329.18
7402;330.55
7403;331.32
7404;332.48
7405;332.92
7406;332.08
7407;331.01
7408;329.23
7409;327.27
7410;327.21
7411;328.29
7412;329.41
7501;330.23
7502;331.25
7503;331.87
7504;333.14
7505;333.80
7506;333.43
7507;331.73
7508;329.90
7509;328.40
7510;328.17
7511;329.32
7512;330.59
7601;331.58
7602;332.39
7603;333.33
7604;334.41
7605;334.71
7606;334.17
7607;332.89
7608;330.77
7609;329.14
7610;328.78
7611;330.14
7612;331.52
7701;332.75
7702;333.24
7703;334.53
7704;335.90
7705;336.57
7706;336.10
7707;334.76
7708;332.59
7709;331.42
7710;330.98
7711;332.24
7712;333.68
7801;334.80
7802;335.22
7803;336.47
7804;337.59
7805;337.84
7806;337.72
7807;336.37
7808;334.51
7809;332.60
7810;332.38
7811;333.75
7812;334.78
7901;336.05
7902;336.59
7903;337.79
7904;338.71
7905;339.30
7906;339.12
7907;337.56
7908;335.92
7909;333.75
7910;333.70
7911;335.12
7912;336.56
8001;337.84
8002;338.19
8003;339.91
8004;340.60
8005;341.29
8006;341.00
8007;339.39
8008;337.43
8009;335.72
8010;335.84
8011;336.93
8012;338.04
8101;339.06
8102;340.30
8103;341.21
8104;342.33
8105;342.74
8106;342.08
8107;340.32
8108;338.26
8109;336.52
8110;336.68
8111;338.19
8112;339.44
8201;340.57
8202;341.44
8203;342.53
8204;343.39
8205;343.96
8206;343.18
8207;341.88
8208;339.65
8209;337.81
8210;337.69
8211;339.09
8212;340.32
8301;341.20
8302;342.35
8303;342.93
8304;344.77
8305;345.58
8306;345.14
8307;343.81
8308;342.21
8309;339.69
8310;339.82
8311;340.98
8312;342.82
8401;343.52
8402;344.33
8403;345.11
8404;346.88
8405;347.25
8406;346.62
8407;345.22
8408;343.11
8409;340.90
8410;341.18
8411;342.80
8412;344.04
8501;344.79
8502;345.82
8503;347.25
8504;348.17
8505;348.74
8506;348.07
8507;346.38
8508;344.51
8509;342.92
8510;342.62
8511;344.06
8512;345.38
8601;346.11
8602;346.78
8603;347.68
8604;349.37
8605;350.03
8606;349.37
8607;347.76
8608;345.73
8609;344.68
8610;343.99
8611;345.48
8612;346.72
8701;347.84
8702;348.29
8703;349.23
8704;350.80
8705;351.66
8706;351.07
8707;349.33
8708;347.92
8709;346.27
8710;346.18
8711;347.64
8712;348.78
8801;350.25
8802;351.54
8803;352.05
8804;353.41
8805;354.04
8806;353.62
8807;352.22
8808;350.27
8809;348.55
8810;348.72
8811;349.91
8812;351.18
8901;352.60
8902;352.92
8903;353.53
8904;355.26
8905;355.52
8906;354.97
8907;353.75
8908;351.52
8909;349.64
8910;349.83
8911;351.14
8912;352.37
9001;353.50
9002;354.55
9003;355.23
9004;356.04
9005;357.00
9006;356.07
9007;354.67
9008;352.76
9009;350.82
9010;351.04
9011;352.69
9012;354.07
9101;354.59
9102;355.63
9103;357.03
9104;358.48
9105;359.22
9106;358.12
9107;356.06
9108;353.92
9109;352.05
9110;352.11
9111;353.64
9112;354.89
9201;355.88
9202;356.63
9203;357.72
9204;359.07
9205;359.58
9206;359.17
9207;356.94
9208;354.92
9209;352.94
9210;353.23
9211;354.09
9212;355.33
9301;356.63
9302;357.10
9303;358.32
9304;359.41
9305;360.23
9306;359.55
9307;357.53
9308;355.48
9309;353.67
9310;353.95
9311;355.30
9312;356.78
9401;358.34
9402;358.89
9403;359.95
9404;361.25
9405;361.67
9406;360.94
9407;359.55
9408;357.49
9409;355.84
9410;356.00
9411;357.59
9412;359.05
9501;359.98
9502;361.03
9503;361.66
9504;363.48
9505;363.82
9506;363.30
9507;361.94
9508;359.50
9509;358.11
9510;357.80
9511;359.61
9512;360.74
9601;362.09
9602;363.29
9603;364.06
9604;364.76
9605;365.45
9606;365.01
9607;363.70
9608;361.54
9609;359.51
9610;359.65
9611;360.80
9612;362.38
9701;363.23
9702;364.06
9703;364.61
9704;366.40
9705;366.84
9706;365.68
9707;364.52
9708;362.57
9709;360.24
9710;360.83
9711;362.49
9712;364.34
