times;values
1362156281;2.248936
1362156282;1.418346
1362156283;2.040903
1362156284;1.203111
1362156285;1.681541
1362156286;0.594308
1362156287;2.180642
1362156288;1.196050
1362156289;1.187197
1362156290;1.811406
1362156291;1.636725
1362156292;0.064009
1362156293;0.482092
1362156294;0.247712
1362156295;-0.077919
1362156296;1.178375
1362156297;1.281602
1362156298;0.479150
1362156299;0.333189
1362156300;-0.227507
1362156301;1.330272
1362156302;0.195933
1362156303;-0.246272
1362156304;0.654985
1362156305;-0.136233
1362156306;1.101498
1362156307;-0.508266
1362156308;1.196381
1362156309;-0.939690
1362156310;1.468098
1362156311;-0.816491
1362156312;-0.565620
1362156313;1.370747
1362156314;-0.675609
1362156315;-0.432004
1362156316;0.340286
1362156317;0.780809
1362156318;0.948022
1362156319;0.602203
1362156320;0.003461
1362156321;0.935719
1362156322;0.334275
1362156323;0.038186
1362156324;-0.107734
1362156325;-0.029190
1362156326;0.753460
1362156327;-0.440873
1362156328;0.211034
1362156329;0.737228
1362156330;1.701954
1362156331;1.103312
1362156332;1.191558
1362156333;0.979445
1362156334;-0.409134
1362156335;0.825219
1362156336;0.284583
1362156337;1.821878
1362156338;1.412478
1362156339;1.620043
1362156340;1.478400
1362156341;2.011287
1362156342;0.427143
1362156343;0.897394
1362156344;1.796237
1362156345;1.666181
1362156346;0.335688
1362156347;1.839861
1362156348;0.566324
1362156349;2.425632
1362156350;1.946920
1362156351;0.238768
1362156352;0.824798
1362156353;1.309770
1362156354;0.933125
1362156355;2.811667
1362156356;1.684815
1362156357;2.689800
1362156358;1.344050
1362156359;1.080687
1362156360;2.269813
1362156361;2.974359
1362156362;2.241337
1362156363;1.717289
1362156364;3.175988
1362156365;2.604098
1362156366;3.029522
1362156367;2.034689
1362156368;2.061081
1362156369;2.180799
1362156370;2.619204
1362156371;1.464339
1362156372;0.992954
1362156373;2.959435
1362156374;1.824633
1362156375;1.575372
1362156376;1.372621
1362156377;2.490317
1362156378;1.397742
1362156379;1.056684
1362156380;1.539868
1362156381;2.597698
1362156382;2.648346
1362156383;1.158909
1362156384;1.894125
1362156385;1.125515
1362156386;3.425022
1362156387;3.099365
1362156388;2.814224
1362156389;1.919927
1362156390;1.600976
1362156391;2.836367
1362156392;1.235090
1362156393;2.372040
1362156394;1.556238
1362156395;1.272196
1362156396;1.560858
1362156397;2.727961
1362156398;0.692953
1362156399;0.706252
1362156400;2.637357
1362156401;2.822833
1362156402;1.399615
1362156403;1.224296
1362156404;2.724134
1362156405;0.391632
1362156406;2.767082
1362156407;0.426595
1362156408;0.850383
1362156409;0.703570
1362156410;2.592662
1362156411;0.600587
1362156412;2.390041
1362156413;0.205572
1362156414;1.915642
1362156415;1.273440
1362156416;1.280360
1362156417;0.710229
1362156418;1.550163
1362156419;0.310598
1362156420;1.643240
1362156421;0.437309
1362156422;0.399584
1362156423;0.889695
1362156424;-0.140849
1362156425;0.997579
1362156426;-0.504683
1362156427;-0.310208
1362156428;1.325419
1362156429;-0.028548
1362156430;0.736073
1362156431;1.415951
1362156432;1.491808
1362156433;0.180762
1362156434;-0.841664
1362156435;0.384007
1362156436;1.570666
1362156437;1.123364
1362156438;1.232557
1362156439;-0.367046
1362156440;0.432301
1362156441;-0.549025
1362156442;1.302805
1362156443;0.108427
1362156444;0.210866
1362156445;0.629816
1362156446;-0.189537
1362156447;0.573999
1362156448;1.505830
1362156449;0.660566
1362156450;0.718949
1362156451;0.393797
1362156452;0.689367
1362156453;1.523619
1362156454;-0.520502
1362156455;1.284513
1362156456;-0.757152
1362156457;0.502637
1362156458;0.504843
1362156459;-0.465640
1362156460;0.494422
1362156461;0.564295
1362156462;1.794392
1362156463;1.515657
1362156464;0.214680
1362156465;1.195518
1362156466;0.841490
1362156467;0.694303
1362156468;0.325180
1362156469;0.127359
1362156470;2.049845
1362156471;1.138832
1362156472;2.163406
1362156473;1.883340
1362156474;1.555618
1362156475;0.512357
1362156476;2.232340
1362156477;-0.049028
1362156478;1.846431
1362156479;2.458650
1362156480;1.899625
1362156481;2.280379
1362156482;1.555156
1362156483;0.567705
1362156484;1.833086
1362156485;0.400514
1362156486;0.990392
1362156487;1.883294
1362156488;2.400773
1362156489;0.919022
1362156490;2.716591
1362156491;2.734561
1362156492;2.885634
1362156493;2.439116
1362156494;1.473636
1362156495;2.083262
1362156496;3.080016
1362156497;2.209060
1362156498;1.000957
1362156499;2.257738
1362156500;2.022660
1362156501;2.785510
1362156502;1.516913
1362156503;2.832320
1362156504;3.311339
1362156505;1.879709
1362156506;0.975961
1362156507;1.827253
1362156508;2.285128
1362156509;3.299555
1362156510;2.349060
1362156511;1.178130
1362156512;2.990310
1362156513;1.755186
1362156514;1.525861
1362156515;1.016526
1362156516;1.268558
1362156517;1.460696
1362156518;2.038449
1362156519;1.934432
1362156520;2.682187
1362156521;2.209912
1362156522;2.838057
1362156523;3.176076
1362156524;3.192591
1362156525;1.395176
1362156526;1.789246
1362156527;2.721825
1362156528;2.259458
1362156529;1.560388
1362156530;2.765958
1362156531;1.242583
1362156532;1.531706
1362156533;2.264211
1362156534;0.664815
1362156535;1.410092
1362156536;0.859522
1362156537;1.077494
1362156538;1.881508
1362156539;2.431992
1362156540;2.500207
1362156541;0.447301
1362156542;2.203449
1362156543;0.331554
1362156544;2.500016
1362156545;2.245258
1362156546;0.947660
1362156547;1.934612
1362156548;2.167888
1362156549;1.342529
1362156550;0.847616
1362156551;1.042082
1362156552;0.774147
1362156553;1.850082
1362156554;-0.338886
1362156555;0.020146
1362156556;1.294195
1362156557;0.758814
1362156558;0.016917
1362156559;0.704085
1362156560;0.211300
1362156561;0.457808
1362156562;1.338645
1362156563;0.390958
1362156564;-0.391903
1362156565;-0.206180
1362156566;-0.483050
1362156567;1.353935
1362156568;1.129068
1362156569;0.824953
1362156570;-0.253630
1362156571;0.192839
1362156572;0.228243
1362156573;0.775316
1362156574;0.291303
1362156575;1.394954
1362156576;-0.878301
1362156577;-0.205218
1362156578;1.500222
1362156579;1.303856
1362156580;0.213308
1362156581;0.293419
1362156582;-0.708209
1362156583;-0.373831
1362156584;-0.273225
1362156585;0.248758
1362156586;0.397887
1362156587;0.873727
1362156588;-0.144256
1362156589;1.066218
1362156590;1.463006
1362156591;0.976613
1362156592;0.786712
1362156593;1.219212
1362156594;1.177333
1362156595;1.578481
1362156596;1.283431
1362156597;-0.138133
1362156598;-0.488812
1362156599;-0.134932
1362156600;-0.425465
1362156601;1.819961
1362156602;2.035064
1362156603;1.188076
1362156604;1.213115
1362156605;1.446401
1362156606;0.254415
1362156607;1.745819
1362156608;1.384255
1362156609;0.718049
1362156610;0.278275
1362156611;1.818089
1362156612;0.806987
1362156613;1.038297
1362156614;1.431287
1362156615;0.932303
1362156616;0.995271
1362156617;2.451917
1362156618;1.229345
1362156619;1.650825
1362156620;2.519415
1362156621;2.528282
1362156622;2.378583
1362156623;0.712574
1362156624;0.707472
1362156625;2.499120
1362156626;1.948547
1362156627;0.966022
1362156628;2.084744
1362156629;1.766091
1362156630;0.974992
1362156631;2.583278
1362156632;1.009246
1362156633;2.110332
1362156634;0.991570
1362156635;2.517045
1362156636;3.389238
1362156637;1.024866
1362156638;2.687850
1362156639;2.632381
1362156640;2.384426
1362156641;1.555731
1362156642;3.272477
1362156643;1.124876
1362156644;2.390710
1362156645;2.328662
1362156646;2.952991
1362156647;2.195236
1362156648;1.786287
1362156649;1.575036
1362156650;2.660004
1362156651;1.339467
1362156652;0.998095
1362156653;1.169071
1362156654;1.464243
1362156655;1.893720
1362156656;2.407080
1362156657;2.483402
1362156658;1.695659
1362156659;2.635999
1362156660;2.900254
1362156661;0.743299
1362156662;1.248772
1362156663;3.043989
1362156664;0.550214
1362156665;1.062038
1362156666;2.785874
1362156667;1.372316
1362156668;0.738464
1362156669;2.717996
1362156670;1.657348
1362156671;0.684979
1362156672;1.168940
1362156673;2.054724
1362156674;0.887380
1362156675;0.133140
1362156676;0.250391
1362156677;1.160818
1362156678;0.104591
1362156679;0.636916
1362156680;1.470304
1362156681;1.299365
1362156682;1.575030
1362156683;0.626652
1362156684;2.074799
1362156685;1.684878
1362156686;0.053329
1362156687;1.546837
1362156688;-0.103913
1362156689;1.247177
1362156690;0.454359
1362156691;0.979473
1362156692;0.795669
1362156693;0.520007
1362156694;-0.150723
1362156695;-0.683652
1362156696;0.783392
1362156697;-0.638912
1362156698;0.157236
1362156699;-0.402923
1362156700;1.021854
1362156701;0.658934
1362156702;1.077288
1362156703;0.635554
1362156704;0.576436
1362156705;0.639376
1362156706;-0.361978
1362156707;0.718107
1362156708;-0.656198
1362156709;-0.573804
1362156710;1.128458
1362156711;-0.433727
1362156712;-0.391957
1362156713;-0.219509
1362156714;-0.330392
1362156715;1.392937
1362156716;1.382223
1362156717;1.282700
1362156718;0.138338
1362156719;1.227255
1362156720;-0.805882
1362156721;1.290370
1362156722;0.823717
1362156723;0.859235
1362156724;-0.155046
1362156725;1.409540
1362156726;-0.119508
1362156727;-0.365698
1362156728;-0.412699
1362156729;-0.365536
1362156730;0.807833
1362156731;1.170176
1362156732;0.037637
1362156733;2.110787
1362156734;1.576672
1362156735;0.138849
1362156736;0.216884
1362156737;1.353157
1362156738;1.822198
1362156739;-0.045555
1362156740;1.131321
1362156741;0.336803
1362156742;0.914997
1362156743;0.689894
1362156744;2.101150
1362156745;1.891365
1362156746;0.594528
1362156747;2.351327
1362156748;2.175716
1362156749;0.657016
1362156750;1.850858
1362156751;2.816134
1362156752;0.855495
1362156753;1.740875
1362156754;1.447505
1362156755;1.968999
1362156756;1.360676
1362156757;1.304285
1362156758;1.001753
1362156759;2.787896
1362156760;2.335184
1362156761;1.857511
1362156762;1.154764
1362156763;2.659747
1362156764;2.870578
1362156765;1.471856
1362156766;1.637100
1362156767;3.371911
1362156768;1.645304
1362156769;2.194551
1362156770;3.445032
1362156771;1.492225
1362156772;2.846660
1362156773;3.368668
1362156774;2.907112
1362156775;1.936289
1362156776;2.522537
1362156777;2.088869
1362156778;3.321279
1362156779;1.028007
1362156780;1.971047
