times;values
1363269581;400.000000
1363269582;399.579633
1363269583;398.840735
1363269584;398.738897
1363269585;397.681471
1363269586;397.898159
1363269587;396.522211
1363269588;397.057417
1363269589;395.362956
1363269590;396.216670
1363269591;394.203707
1363269592;395.375915
1363269593;393.044466
1363269594;394.535151
1363269595;391.885235
1363269596;393.694377
1363269597;390.726015
1363269598;392.853590
1363269599;389.566808
1363269600;392.012790
1363269601;388.407616
1363269602;391.171975
1363269603;387.248439
1363269604;390.331142
1363269605;386.089281
1363269606;389.490291
1363269607;384.930142
1363269608;388.649420
1363269609;383.771024
1363269610;387.808527
1363269611;382.611928
1363269612;386.967610
1363269613;381.452857
1363269614;386.126669
1363269615;380.293812
1363269616;385.285701
1363269617;379.134794
1363269618;384.444704
1363269619;377.975805
1363269620;383.603678
1363269621;376.816847
1363269622;382.762620
1363269623;375.657921
1363269624;381.921529
1363269625;374.499029
1363269626;381.080404
1363269627;373.340173
1363269628;380.239242
1363269629;372.181353
1363269630;379.398042
1363269631;371.022573
1363269632;378.556802
1363269633;369.863833
1363269634;377.715522
1363269635;368.705134
1363269636;376.874198
1363269637;367.546480
1363269638;376.032831
1363269639;366.387870
1363269640;375.191417
1363269641;365.229308
1363269642;374.349956
1363269643;364.070793
1363269644;373.508445
1363269645;362.912329
1363269646;372.666884
1363269647;361.753916
1363269648;371.825270
1363269649;360.595557
1363269650;370.983602
1363269651;359.437252
1363269652;370.141879
1363269653;358.279004
1363269654;369.300098
1363269655;357.120814
1363269656;368.458259
1363269657;355.962684
1363269658;367.616359
1363269659;354.804615
1363269660;366.774396
1363269661;353.646608
1363269662;365.932371
1363269663;352.488666
1363269664;365.090280
1363269665;351.330791
1363269666;364.248122
1363269667;350.172983
1363269668;363.405896
1363269669;349.015244
1363269670;362.563599
1363269671;347.857576
1363269672;361.721231
1363269673;346.699980
1363269674;360.878790
1363269675;345.542459
1363269676;360.036274
1363269677;344.385013
1363269678;359.193681
1363269679;343.227644
1363269680;358.351010
1363269681;342.070355
1363269682;357.508260
1363269683;340.913145
1363269684;356.665428
1363269685;339.756018
1363269686;355.822514
1363269687;338.598975
1363269688;354.979515
1363269689;337.442017
1363269690;354.136430
1363269691;336.285145
1363269692;353.293258
1363269693;335.128362
1363269694;352.449996
1363269695;333.971669
1363269696;351.606643
1363269697;332.815068
1363269698;350.763198
1363269699;331.658559
1363269700;349.919659
1363269701;330.502146
1363269702;349.076025
1363269703;329.345829
1363269704;348.232293
1363269705;328.189610
1363269706;347.388463
1363269707;327.033490
1363269708;346.544532
1363269709;325.877472
1363269710;345.700499
1363269711;324.721556
1363269712;344.856363
1363269713;323.565745
1363269714;344.012122
1363269715;322.410039
1363269716;343.167774
1363269717;321.254441
1363269718;342.323318
1363269719;320.098952
1363269720;341.478752
1363269721;318.943573
1363269722;340.634074
1363269723;317.788307
1363269724;339.789284
1363269725;316.633154
1363269726;338.944379
1363269727;315.478117
1363269728;338.099358
1363269729;314.323197
1363269730;337.254219
1363269731;313.168395
1363269732;336.408961
1363269733;312.013713
1363269734;335.563583
1363269735;310.859153
1363269736;334.718081
1363269737;309.704716
1363269738;333.872456
1363269739;308.550403
1363269740;333.026705
1363269741;307.396217
1363269742;332.180828
1363269743;306.242159
1363269744;331.334821
1363269745;305.088231
1363269746;330.488685
1363269747;303.934433
1363269748;329.642416
1363269749;302.780768
1363269750;328.796014
1363269751;301.627237
1363269752;327.949478
1363269753;300.473842
1363269754;327.102805
1363269755;299.320584
1363269756;326.255993
1363269757;298.167464
1363269758;325.409043
1363269759;297.014486
1363269760;324.561951
1363269761;295.861649
1363269762;323.714716
1363269763;294.708955
1363269764;322.867337
1363269765;293.556407
1363269766;322.019813
1363269767;292.404005
1363269768;321.172141
1363269769;291.251751
1363269770;320.324320
1363269771;290.099646
1363269772;319.476349
1363269773;288.947693
1363269774;318.628226
1363269775;287.795893
1363269776;317.779949
1363269777;286.644247
1363269778;316.931518
1363269779;285.492757
1363269780;316.082930
1363269781;284.341424
1363269782;315.234183
1363269783;283.190250
1363269784;314.385277
1363269785;282.039236
1363269786;313.536210
1363269787;280.888384
1363269788;312.686980
1363269789;279.737696
1363269790;311.837586
1363269791;278.587173
1363269792;310.988027
1363269793;277.436816
1363269794;310.138299
1363269795;276.286627
1363269796;309.288404
1363269797;275.136608
1363269798;308.438337
1363269799;273.986760
1363269800;307.588099
1363269801;272.837085
1363269802;306.737688
1363269803;271.687584
1363269804;305.887101
1363269805;270.538258
1363269806;305.036338
1363269807;269.389110
1363269808;304.185398
1363269809;268.240140
1363269810;303.334278
1363269811;267.091350
1363269812;302.482976
1363269813;265.942742
1363269814;301.631493
1363269815;264.794318
1363269816;300.779825
1363269817;263.646078
1363269818;299.927972
1363269819;262.498024
1363269820;299.075932
1363269821;261.350158
1363269822;298.223704
1363269823;260.202482
1363269824;297.371285
1363269825;259.054996
1363269826;296.518675
1363269827;257.907702
1363269828;295.665873
1363269829;256.760602
1363269830;294.812875
