times;values
1820;2
1821;2
1822;2
1823;2
1824;2
1825;2
1826;2
1827;2
1828;2
1829;2
1830;523
1831;98
1832;184
1833;279
1834;409
1835;2285
1836;2685
1837;3409
1838;1824
1839;409
1840;151
1841;45
1842;68
1843;213
1844;546
1845;1033
1846;2129
1847;2536
1848;957
1849;361
1850;377
1851;225
1852;360
1853;731
1854;1638
1855;2725
1856;2871
1857;2119
1858;684
1859;299
1860;2
1861;2
1862;2
1863;2
1864;2
1865;2
1866;2
1867;2
1868;2
1869;2
1870;358
1871;784
1872;1594
1873;1676
1874;2251
1875;1426
1876;756
1877;299
1878;201
1879;229
1880;469
1881;736
1882;2042
1883;2811
1884;4431
1885;2511
1886;389
1887;73
1888;39
1889;49
1890;59
1891;188
1892;377
1893;1292
1894;4031
1895;3495
1896;587
1897;105
1898;153
1899;387
1900;2
1901;2
1902;2
1903;2
1904;2
1905;2
1906;2
1907;2
1908;2
1909;2
1910;1388
1911;2713
1912;3800
1913;3091
1914;2985
1915;3790
1916;674
1917;81
1918;80
1919;108
1920;229
1921;399
1922;1132
1923;2432
1924;3574
1925;2935
1926;1537
1927;529
1928;485
1929;662
1930;1000
1931;1590
1932;2657
1933;3396
1934;2
1935;2
1936;2
1937;2
1938;2
1939;2
1940;2
1941;2
1942;2
1943;2
1944;523
1945;98
1946;184
1947;279
1948;409
1949;2285
1950;2685
1951;3409
1952;1824
1953;409
1954;151
1955;45
1956;68
1957;213
1958;546
1959;1033
1960;2129
1961;2536
1962;957
1963;361
1964;377
1965;225
1966;360
1967;731
1968;1638
1969;2725
1970;2871
1971;2119
1972;684
1973;299
1974;2
1975;2
1976;2
1977;2
1978;2
1979;2
1980;2
1981;2
1982;2
1983;2
1984;358
1985;784
1986;1594
1987;1676
1988;2251
1989;1426
1990;756
1991;299
1992;201
1993;229
1994;469
1995;736
1996;2042
1997;2811
1998;4431
1999;2511
2000;389
2001;73
2002;39
2003;49
2004;59
2005;188
2006;377
2007;1292
2008;4031
2009;3495
2010;587
2011;105
2012;153
2013;387
2014;2
2015;2
2016;2
2017;2
2018;2
2019;2
2020;2
2021;2
2022;2
2023;2
2024;1388
2025;2713
2026;3800
2027;3091
2028;2985
2029;3790
2030;674
2031;81
2032;80
2033;108
2034;229
2035;399
2036;1132
2037;2432
2038;3574
2039;2935
2040;1537
2041;529
2042;485
2043;662
2044;1000
2045;1590
2046;2657
2047;3396
