times;values
1820;2
1821;2
1822;2
1823;2
1824;2
1825;2
1826;2
1827;2
1828;2
1829;2
1830;523
1831;98
1832;184
1833;279
1834;409
1835;2285
1836;2685
1837;3409
1838;1824
1839;409
1840;151
1841;45
1842;68
1843;213
1844;546
1845;1033
1846;2129
1847;2536
1848;957
1849;361
1850;377
1851;225
1852;360
1853;731
1854;1638
1855;2725
1856;2871
1857;2119
1858;684
1859;299
1860;2
1861;2
1862;2
1863;2
1864;2
1865;2
1866;2
1867;2
1868;2
1869;2
1870;358
1871;784
1872;1594
1873;1676
1874;2251
1875;1426
1876;756
1877;299
1878;201
1879;229
1880;469
1881;736
1882;2042
1883;2811
1884;4431
1885;2511
1886;389
1887;73
1888;39
1889;49
1890;59
1891;188
1892;377
1893;1292
1894;4031
1895;3495
1896;587
1897;105
1898;153
1899;387
1900;2
1901;2
1902;2
1903;2
1904;2
1905;2
1906;2
1907;2
1908;2
1909;2
1910;1388
1911;2713
1912;3800
1913;3091
1914;2985
1915;3790
1916;674
1917;81
1918;80
1919;108
1920;229
1921;399
1922;1132
1923;2432
1924;3574
1925;2935
1926;1537
1927;529
1928;485
1929;662
1930;1000
1931;1590
1932;2657
1933;3396
1934;2
1935;2
1936;2
1937;2
1938;2
1939;2
1940;2
1941;2
1942;2
1943;2
1944;523
1945;98
1946;184
1947;279
1948;409
1949;2285
1950;2685
1951;3409
1952;1824
1953;409
1954;151
1955;45
1956;68
1957;213
1958;546
1959;1033
1960;2129
1961;2536
1962;957
1963;361
1964;377
1965;225
1966;360
1967;731
1968;1638
1969;2725
1970;2871
1971;2119
1972;684
1973;299
1974;2
1975;2
1976;2
1977;2
1978;2
1979;2
1980;2
1981;2
1982;2
1983;2
1984;358
1985;784
1986;1594
1987;1676
1988;2251
1989;1426
1990;756
1991;299
1992;201
1993;229
1994;469
1995;736
1996;2042
1997;2811
1998;4431
1999;2511
2000;389
2001;73
2002;39
2003;49
2004;59
2005;188
2006;377
2007;1292
2008;4031
2009;3495
2010;587
2011;105
2012;153
2013;387
2014;2
2015;2
2016;2
2017;2
2018;2
2019;2
2020;2
2021;2
2022;2
2023;2
2024;1388
2025;2713
2026;3800
2027;3091
2028;2985
2029;3790
2030;674
2031;81
2032;80
2033;108
2034;229
2035;399
2036;1132
2037;2432
2038;3574
2039;2935
2040;1537
2041;529
2042;485
2043;662
2044;1000
2045;1590
2046;2657
2047;3396
2048;2
2049;2
2050;2
2051;2
2052;2
2053;2
2054;2
2055;2
2056;2
2057;2
2058;523
2059;98
2060;184
2061;279
2062;409
2063;2285
2064;2685
2065;3409
2066;1824
2067;409
2068;151
2069;45
2070;68
2071;213
2072;546
2073;1033
2074;2129
2075;2536
2076;957
2077;361
2078;377
2079;225
2080;360
2081;731
2082;1638
2083;2725
2084;2871
2085;2119
2086;684
2087;299
2088;2
2089;2
2090;2
2091;2
2092;2
2093;2
2094;2
2095;2
2096;2
2097;2
2098;358
2099;784
2100;1594
2101;1676
2102;2251
2103;1426
2104;756
2105;299
2106;201
2107;229
2108;469
2109;736
2110;2042
2111;2811
2112;4431
2113;2511
2114;389
2115;73
2116;39
2117;49
2118;59
2119;188
2120;377
2121;1292
2122;4031
2123;3495
2124;587
2125;105
2126;153
2127;387
2128;2
2129;2
2130;2
2131;2
2132;2
2133;2
2134;2
2135;2
2136;2
2137;2
2138;1388
2139;2713
2140;3800
2141;3091
2142;2985
2143;3790
2144;674
2145;81
2146;80
2147;108
2148;229
2149;399
2150;1132
2151;2432
2152;3574
2153;2935
2154;1537
2155;529
2156;485
2157;662
2158;1000
2159;1590
2160;2657
2161;3396
2162;2
2163;2
2164;2
2165;2
2166;2
2167;2
2168;2
2169;2
2170;2
2171;2
2172;523
2173;98
2174;184
2175;279
2176;409
2177;2285
2178;2685
2179;3409
2180;1824
2181;409
2182;151
2183;45
2184;68
2185;213
2186;546
2187;1033
2188;2129
2189;2536
2190;957
2191;361
2192;377
2193;225
2194;360
2195;731
2196;1638
2197;2725
2198;2871
2199;2119
2200;684
2201;299
2202;2
2203;2
2204;2
2205;2
2206;2
2207;2
2208;2
2209;2
2210;2
2211;2
2212;358
2213;784
2214;1594
2215;1676
2216;2251
2217;1426
2218;756
2219;299
2220;201
2221;229
2222;469
2223;736
2224;2042
2225;2811
2226;4431
2227;2511
2228;389
2229;73
2230;39
2231;49
2232;59
2233;188
2234;377
2235;1292
2236;4031
2237;3495
2238;587
2239;105
2240;153
2241;387
2242;2
2243;2
2244;2
2245;2
2246;2
2247;2
2248;2
2249;2
2250;2
2251;2
2252;1388
2253;2713
2254;3800
2255;3091
2256;2985
2257;3790
2258;674
2259;81
2260;80
2261;108
2262;229
2263;399
2264;1132
2265;2432
2266;3574
2267;2935
2268;1537
2269;529
2270;485
2271;662
2272;1000
2273;1590
2274;2657
2275;3396
