times;values
1910;49.9
1911;52.3
1912;49.4
1913;51.1
1914;49.4
1915;47.9
1916;49.8
1917;50.9
1918;49.3
1919;51.9
1920;50.8
1921;49.6
1922;49.3
1923;50.6
1924;48.4
1925;50.7
1926;50.9
1927;50.6
1928;51.5
1929;52.8
1930;51.8
1931;51.1
1932;49.8
1933;50.2
1934;50.4
1935;51.6
1936;51.8
1937;50.9
1938;48.8
1939;51.7
1940;51
1941;50.6
1942;51.7
1943;51.5
1944;52.1
1945;51.3
1946;51
1947;54
1948;51.4
1949;52.7
1950;53.1
1951;54.6
1952;52
1953;52
1954;50.9
1955;52.6
1956;50.2
1957;52.6
1958;51.6
1959;51.9
1960;50.5
1961;50.9
1962;51.7
1963;51.4
1964;51.7
1965;50.8
1966;51.9
1967;51.8
1968;51.9
1969;53
