times;values
1362765011;0.000000
1362765012;-0.047761
1362765013;-0.095414
1362765014;-0.142848
1362765015;-0.189957
1362765016;-0.236632
1362765017;-0.282767
1362765018;-0.328257
1362765019;-0.372997
1362765020;-0.416886
1362765021;-0.459823
1362765022;-0.501711
1362765023;-0.542454
1362765024;-0.581958
1362765025;-0.620135
1362765026;-0.656896
1362765027;-0.692157
1362765028;-0.725839
1362765029;-0.757864
1362765030;-0.788159
1362765031;-0.816656
1362765032;-0.843288
1362765033;-0.867996
1362765034;-0.890722
1362765035;-0.911415
1362765036;-0.930028
1362765037;-0.946519
1362765038;-0.960849
1362765039;-0.972986
1362765040;-0.982902
1362765041;-0.990574
1362765042;-0.995986
1362765043;-0.999124
1362765044;-0.999982
1362765045;-0.998558
1362765046;-0.994854
1362765047;-0.988880
1362765048;-0.980649
1362765049;-0.970179
1362765050;-0.957495
1362765051;-0.942625
1362765052;-0.925604
1362765053;-0.906470
1362765054;-0.885268
1362765055;-0.862045
1362765056;-0.836854
1362765057;-0.809753
1362765058;-0.780804
1362765059;-0.750072
1362765060;-0.717629
1362765061;-0.683548
1362765062;-0.647906
1362765063;-0.610786
1362765064;-0.572272
1362765065;-0.532451
1362765066;-0.491415
1362765067;-0.449258
1362765068;-0.406075
1362765069;-0.361965
1362765070;-0.317030
1362765071;-0.271370
1362765072;-0.225091
1362765073;-0.178299
1362765074;-0.131099
1362765075;-0.083600
1362765076;-0.035910
1362765077;0.011861
1362765078;0.059606
1362765079;0.107214
1362765080;0.154578
1362765081;0.201589
1362765082;0.248140
1362765083;0.294124
1362765084;0.339437
1362765085;0.383976
1362765086;0.427638
1362765087;0.470324
1362765088;0.511936
1362765089;0.552380
1362765090;0.591563
1362765091;0.629396
1362765092;0.665793
1362765093;0.700669
1362765094;0.733947
1362765095;0.765549
1362765096;0.795404
1362765097;0.823444
1362765098;0.849604
1362765099;0.873824
1362765100;0.896051
1362765101;0.916232
1362765102;0.934322
1362765103;0.950279
1362765104;0.964068
1362765105;0.975656
1362765106;0.985017
1362765107;0.992129
1362765108;0.996978
1362765109;0.999550
1362765110;0.999842
1362765111;0.997851
1362765112;0.993583
1362765113;0.987046
1362765114;0.978257
1362765115;0.967236
1362765116;0.954006
1362765117;0.938599
1362765118;0.921050
1362765119;0.901398
1362765120;0.879689
1362765121;0.855972
1362765122;0.830302
1362765123;0.802736
1362765124;0.773338
1362765125;0.742175
1362765126;0.709318
1362765127;0.674842
1362765128;0.638826
1362765129;0.601352
1362765130;0.562505
1362765131;0.522374
1362765132;0.481051
1362765133;0.438630
1362765134;0.395207
1362765135;0.350883
1362765136;0.305758
1362765137;0.259935
1362765138;0.213519
1362765139;0.166615
1362765140;0.119331
1362765141;0.071775
1362765142;0.024054
1362765143;-0.023721
1362765144;-0.071442
1362765145;-0.118999
