times;values
1363072980;1.864141
1363073280;-13.322191
1363073580;-22.698440
1363073880;-27.030423
1363074180;-20.716227
1363074480;-12.380876
1363074780;1.310768
1363075080;17.155951
1363075380;27.309926
1363075680;34.591446
1363075980;35.857578
1363076280;29.531579
1363076580;18.424883
1363076880;0.102668
1363077180;-11.497057
1363077480;-18.774858
1363077780;-18.100755
1363078080;-13.367271
1363078380;0.903777
1363078680;16.429977
1363078980;27.889881
1363079280;39.517409
1363079580;43.015219
1363079880;39.900822
1363080180;29.665000
1363080480;16.366267
1363080780;0.919948
1363081080;-7.865528
1363081380;-12.795236
1363081680;-13.069791
1363081980;0.379191
1363082280;13.435447
1363082580;25.667859
1363082880;37.991886
1363083180;47.337348
1363083480;51.476948
1363083780;41.206003
1363084080;31.053753
1363084380;18.458679
1363084680;1.957965
1363084980;-5.180327
1363085280;-6.301752
1363085580;-1.275731
1363085880;11.869687
1363086180;26.810584
1363086480;40.454857
1363086780;49.343574
1363087080;57.008891
1363087380;54.935288
1363087680;45.348033
1363087980;30.446410
1363088280;19.152082
1363088580;7.924149
1363088880;-2.568259
1363089180;1.361284
1363089480;9.999405
1363089780;22.428650
1363090080;37.766351
1363090380;51.377513
1363090680;62.301916
1363090980;63.651840
1363091280;58.712693
1363091580;47.412722
1363091880;32.859780
1363092180;17.065228
1363092480;10.368546
1363092780;6.662271
1363093080;7.864468
1363093380;19.754198
1363093680;34.015955
1363093980;47.821334
1363094280;61.497104
1363094580;69.825481
1363094880;65.581960
1363095180;60.951884
1363095480;48.279307
1363095780;29.368479
1363096080;17.289429
1363096380;10.230411
1363096680;14.151665
1363096980;19.905976
1363097280;31.168176
1363097580;47.076486
1363097880;63.727997
1363098180;70.227310
1363098480;75.474571
1363098780;70.549485
1363099080;62.455740
1363099380;45.219249
1363099680;33.999678
1363099980;20.926287
1363100280;19.353452
1363100580;21.905779
1363100880;32.856605
1363101180;46.013415
1363101480;62.017689
1363101780;74.520461
1363102080;82.354532
1363102380;80.656780
1363102680;74.306471
