times;values
1363343191; 0.000000
1363343192; 0.099833
1363343193; 0.198669
1363343194; 0.295520
1363343195; 0.389418
1363343196; 0.479426
1363343197; 0.564642
1363343198; 0.644218
1363343199; 0.717356
1363343200; 0.783327
1363343201; 0.841471
1363343202; 0.891207
1363343203; 0.932039
1363343204; 0.963558
1363343205; 0.985450
1363343206; 0.997495
1363343207; 0.999574
1363343208; 0.991665
1363343209; 0.973848
1363343210; 0.946300
1363343211; 0.909297
1363343212; 0.863209
1363343213; 0.808496
1363343214; 0.745705
1363343215; 0.675463
1363343216; 0.598472
1363343217; 0.515501
1363343218; 0.427380
1363343219; 0.334988
1363343220; 0.239249
1363343221; 0.141120
1363343222; 0.041581
1363343223; 0.058374
1363343224; 0.157746
1363343225; 0.255541
1363343226; 0.350783
1363343227; 0.442520
1363343228; 0.529836
1363343229; 0.611858
1363343230; 0.687766
1363343231; 0.756802
1363343232; 0.818277
1363343233; 0.871576
1363343234; 0.916166
1363343235; 0.951602
1363343236; 0.977530
1363343237; 0.993691
1363343238; 0.999923
1363343239; 0.996165
1363343240; 0.982453
1363343241; 0.958924
1363343242; 0.925815
1363343243; 0.883455
1363343244; 0.832267
1363343245; 0.772764
1363343246; 0.705540
1363343247; 0.631267
1363343248; 0.550686
1363343249; 0.464602
1363343250; 0.373877
1363343251; 0.279415
1363343252; 0.182163
1363343253; 0.083089
1363343254; 0.016814
1363343255; 0.116549
1363343256; 0.215120
1363343257; 0.311541
1363343258; 0.404850
1363343259; 0.494113
1363343260; 0.578440
1363343261; 0.656987
1363343262; 0.728969
1363343263; 0.793668
1363343264; 0.850437
1363343265; 0.898708
1363343266; 0.938000
1363343267; 0.967920
1363343268; 0.988168
1363343269; 0.998543
1363343270; 0.998941
1363343271; 0.989358
1363343272; 0.969890
1363343273; 0.940731
1363343274; 0.902172
1363343275; 0.854599
1363343276; 0.798487
1363343277; 0.734397
1363343278; 0.662969
1363343279; 0.584917
1363343280; 0.501021
1363343281; 0.412118
1363343282; 0.319098
1363343283; 0.222890
1363343284; 0.124454
1363343285; 0.024775
1363343286; 0.075151
1363343287; 0.174327
1363343288; 0.271761
1363343289; 0.366479
1363343290; 0.457536
