times;values
1363343191; 0.000000
1363343192; 0.099833
1363343193; 0.198669
1363343194; 0.295520
1363343195; 0.389418
1363343196; 0.479426
1363343197; 0.564642
1363343198; 0.644218
1363343199; 0.717356
1363343200; 0.783327
1363343201; 0.841471
1363343202; 0.891207
1363343203; 0.932039
1363343204; 0.963558
1363343205; 0.985450
1363343206; 0.997495
1363343207; 0.999574
1363343208; 0.991665
1363343209; 0.973848
1363343210; 0.946300
1363343211; 0.909297
1363343212; 0.863209
1363343213; 0.808496
1363343214; 0.745705
1363343215; 0.675463
1363343216; 0.598472
1363343217; 0.515501
1363343218; 0.427380
1363343219; 0.334988
1363343220; 0.239249
1363343221; 0.141120
1363343222; 0.041581
1363343223; 0.058374
1363343224; 0.157746
1363343225; 0.255541
1363343226; 0.350783
1363343227; 0.442520
1363343228; 0.529836
1363343229; 0.611858
1363343230; 0.687766
1363343231; 0.756802
1363343232; 0.818277
1363343233; 0.871576
1363343234; 0.916166
1363343235; 0.951602
1363343236; 0.977530
1363343237; 0.993691
1363343238; 0.999923
1363343239; 0.996165
1363343240; 0.982453
1363343241; 0.958924
1363343242; 0.925815
1363343243; 0.883455
1363343244; 0.832267
1363343245; 0.772764
1363343246; 0.705540
1363343247; 0.631267
1363343248; 0.550686
1363343249; 0.464602
1363343250; 0.373877
1363343251; 0.279415
1363343252; 0.182163
1363343253; 0.083089
1363343254; 0.016814
1363343255; 0.116549
1363343256; 0.215120
1363343257; 0.311541
1363343258; 0.404850
1363343259; 0.494113
1363343260; 0.578440
1363343261; 0.656987
1363343262; 0.728969
1363343263; 0.793668
1363343264; 0.850437
1363343265; 0.898708
1363343266; 0.938000
1363343267; 0.967920
1363343268; 0.988168
1363343269; 0.998543
1363343270; 0.998941
1363343271; 0.989358
1363343272; 0.969890
1363343273; 0.940731
1363343274; 0.902172
1363343275; 0.854599
1363343276; 0.798487
1363343277; 0.734397
1363343278; 0.662969
1363343279; 0.584917
1363343280; 0.501021
1363343281; 0.412118
1363343282; 0.319098
1363343283; 0.222890
1363343284; 0.124454
1363343285; 0.024775
1363343291; 0.000000
1363343292; 0.099833
1363343293; 0.198669
1363343294; 0.295520
1363343295; 0.389418
1363343296; 0.479426
1363343297; 0.564642
1363343298; 0.644218
1363343299; 0.717356
1363343300; 0.783327
1363343301; 0.841471
1363343302; 0.891207
1363343303; 0.932039
1363343304; 0.963558
1363343305; 0.985450
1363343306; 0.997495
1363343307; 0.999574
1363343308; 0.991665
1363343309; 0.973848
1363343310; 0.946300
1363343311; 0.909297
1363343312; 0.863209
1363343313; 0.808496
1363343314; 0.745705
1363343315; 0.675463
1363343316; 0.598472
1363343317; 0.515501
1363343318; 0.427380
1363343319; 0.334988
1363343320; 0.239249
1363343321; 0.141120
1363343322; 0.041581
1363343323; 0.058374
1363343324; 0.157746
1363343325; 0.255541
1363343326; 0.350783
1363343327; 0.442520
1363343328; 0.529836
1363343329; 0.611858
1363343330; 0.687766
1363343331; 0.756802
1363343332; 0.818277
1363343333; 0.871576
1363343334; 0.916166
1363343335; 0.951602
1363343336; 0.977530
1363343337; 0.993691
1363343338; 0.999923
1363343339; 0.996165
1363343340; 0.982453
1363343341; 0.958924
1363343342; 0.925815
1363343343; 0.883455
1363343344; 0.832267
1363343345; 0.772764
1363343346; 0.705540
1363343347; 0.631267
1363343348; 0.550686
1363343349; 0.464602
1363343350; 0.373877
1363343351; 0.279415
1363343352; 0.182163
1363343353; 0.083089
1363343354; 0.016814
1363343355; 0.116549
1363343356; 0.215120
1363343357; 0.311541
1363343358; 0.404850
1363343359; 0.404851
1363343360; 0.404852
1363343361; 0.404853
1363343362; 0.404854
1363343363; 0.404855
1363343364; 0.404856
1363343365; 0.404857
1363343366; 0.404858
1363343367; 0.404859
1363343368; 0.404860
1363343369; 0.404861
1363343370; 0.404862
1363343371; 0.404863
1363343372; 0.404864
1363343373; 0.404865
1363343374; 0.404866
1363343375; 0.404867
1363343376; 0.404868
1363343377; 0.404869
1363343378; 0.404870
1363343379; 0.404871
1363343380; 0.404872
1363343381; 0.412118
1363343382; 0.319098
1363343383; 0.222890
1363343384; 0.124454
1363343385; 0.024775
1363343391; 0.000000
1363343392; 0.000000
1363343393; 0.000000
1363343394; 0.000000
1363343395; 0.000000
1363343396; 0.000000
1363343397; 0.000000
1363343398; 0.000000
1363343399; 0.000000
1363343400; 0.000000
1363343401; 0.000000
1363343402; 0.000000
1363343403; 0.000000
1363343404; 0.000000
1363343405; 0.000000
1363343406; 0.000000
1363343407; 0.000000
1363343408; 0.000000
1363343409; 0.000000
1363343410; 0.000000
1363343411; 0.000000
1363343412; 0.000000
1363343413; 0.000000
1363343414; 0.000000
1363343415; 0.000000
1363343416; 0.000000
1363343417; 0.000000
1363343418; 0.000000
1363343419; 0.000000
1363343420; 0.000000
1363343421; 0.000000
1363343422; 0.000000
1363343423; 0.000000
1363343424; 0.000000
1363343425; 0.099833
1363343426; 0.198669
1363343427; 0.295520
1363343428; 0.389418
1363343429; 0.479426
1363343430; 0.564642
1363343431; 0.644218
1363343432; 0.717356
1363343433; 0.783327
1363343434; 0.841471
1363343435; 0.891207
1363343436; 0.932039
1363343437; 0.963558
1363343438; 0.985450
1363343439; 0.997495
1363343440; 0.999574
1363343441; 0.991665
1363343442; 0.973848
1363343443; 0.946300
1363343444; 0.909297
1363343445; 0.863209
1363343446; 0.808496
1363343447; 0.745705
1363343448; 0.675463
1363343449; 0.598472
1363343450; 0.515501
1363343451; 0.427380
1363343452; 0.334988
1363343453; 0.239249
1363343454; 0.141120
1363343455; 0.041581
1363343456; 0.058374
1363343457; 0.157746
1363343458; 0.255541
1363343459; 0.350783
1363343460; 0.442520
1363343461; 0.529836
1363343462; 0.611858
1363343463; 0.687766
1363343464; 0.756802
1363343465; 0.818277
1363343466; 0.871576
1363343467; 0.916166
1363343468; 0.951602
1363343469; 0.977530
1363343470; 0.993691
1363343471; 0.999923
1363343472; 0.996165
1363343473; 0.982453
1363343474; 0.958924
1363343475; 0.925815
1363343476; 0.883455
1363343477; 0.832267
1363343478; 0.772764
1363343479; 0.705540
1363343480; 0.631267
1363343481; 0.550686
1363343482; 0.464602
1363343483; 0.373877
1363343484; 0.279415
1363343485; 0.182163
1363343486; 0.083089
1363343487; 0.016814
1363343488; 0.116549
1363343489; 0.215120
1363343490; 0.311541
1363343491; 0.404850
1363343492; 0.494113
1363343493; 0.578440
1363343494; 0.656987
1363343495; 0.728969
1363343496; 0.793668
1363343497; 0.850437
1363343498; 0.898708
1363343499; 0.938000
1363343500; 0.967920
1363343501; 0.988168
1363343502; 0.998543
1363343503; 0.998941
1363343504; 0.989358
1363343505; 0.969890
1363343506; 0.940731
1363343507; 0.902172
1363343508; 0.854599
1363343509; 0.798487
1363343510; 0.734397
1363343511; 0.662969
1363343512; 0.584917
1363343513; 0.501021
1363343514; 0.412118
1363343515; 0.319098
1363343516; 0.222890
1363343517; 0.124454
1363343518; 0.024775
1363343519; 0.000000
1363343520; 0.099833
1363343521; 0.198669
1363343522; 0.295520
1363343523; 0.389418
1363343524; 0.479426
1363343525; 0.564642
1363343526; 0.644218
1363343527; 0.717356
1363343528; 0.783327
1363343529; 0.841471
1363343530; 0.891207
1363343531; 0.932039
1363343532; 0.963558
1363343533; 0.985450
1363343534; 0.997495
1363343535; 0.999574
1363343536; 0.991665
1363343537; 0.973848
1363343538; 0.946300
1363343539; 0.909297
1363343540; 0.863209
1363343541; 0.808496
1363343542; 0.745705
1363343543; 0.675463
1363343544; 0.598472
1363343545; 0.515501
1363343546; 0.427380
1363343547; 0.334988
1363343548; 0.239249
1363343549; 0.141120
1363343550; 0.041581
1363343551; 0.058374
1363343552; 0.157746
1363343553; 0.255541
1363343554; 0.350783
1363343555; 0.442520
1363343556; 0.529836
1363343557; 0.611858
1363343558; 0.687766
1363343559; 0.756802
1363343560; 0.818277
1363343561; 0.871576
1363343562; 0.916166
1363343563; 0.951602
1363343564; 0.977530
1363343565; 0.993691
1363343566; 0.999923
1363343567; 0.996165
1363343568; 0.982453
1363343569; 0.958924
1363343570; 0.925815
1363343571; 0.883455
1363343572; 0.832267
1363343573; 0.772764
1363343574; 0.705540
1363343575; 0.631267
1363343576; 0.550686
1363343577; 0.464602
1363343578; 0.373877
1363343579; 0.279415
1363343580; 0.182163
1363343581; 0.083089
1363343582; 0.016814
1363343583; 0.116549
1363343584; 0.215120
1363343585; 0.311541
1363343586; 0.404850
1363343587; 0.404851
1363343588; 0.404852
1363343589; 0.404853
1363343590; 0.404854
1363343591; 0.404855
1363343592; 0.404856
1363343593; 0.404857
1363343594; 0.404858
1363343595; 0.404859
1363343596; 0.404860
1363343597; 0.404861
1363343598; 0.404862
1363343599; 0.404863
1363343600; 0.404864
1363343601; 0.404865
1363343602; 0.404866
1363343603; 0.404867
1363343604; 0.404868
1363343605; 0.404869
1363343606; 0.404870
1363343607; 0.404871
1363343608; 0.404872
1363343609; 0.412118
1363343610; 0.319098
1363343611; 0.222890
1363343612; 0.124454
1363343613; 0.024775
1363343614; 0.000000
1363343615; 0.000000
1363343616; 0.000000
1363343617; 0.000000
1363343618; 0.000000
1363343619; 0.000000
1363343620; 0.000000
1363343621; 0.000000
1363343622; 0.000000
1363343623; 0.000000
1363343624; 0.000000
1363343625; 0.000000
1363343626; 0.000000
1363343627; 0.000000
1363343628; 0.000000
1363343629; 0.000000
1363343630; 0.000000
1363343631; 0.000000
1363343632; 0.000000
1363343633; 0.000000
1363343634; 0.000000
1363343635; 0.000000
1363343636; 0.000000
1363343637; 0.000000
1363343638; 0.000000
1363343639; 0.000000
1363343640; 0.000000
1363343641; 0.000000
1363343642; 0.000000
1363343643; 0.000000
1363343644; 0.000000
1363343645; 0.000000
1363343646; 0.000000
1363343647; 0.099833
1363343648; 0.198669
1363343649; 0.295520
1363343650; 0.389418
1363343651; 0.479426
1363343652; 0.564642
1363343653; 0.644218
1363343654; 0.717356
1363343655; 0.783327
1363343656; 0.841471
1363343657; 0.891207
1363343658; 0.932039
1363343659; 0.963558
1363343660; 0.985450
1363343661; 0.997495
1363343662; 0.999574
1363343663; 0.991665
1363343664; 0.973848
1363343665; 0.946300
1363343666; 0.909297
1363343667; 0.863209
1363343668; 0.808496
1363343669; 0.745705
1363343670; 0.675463
1363343671; 0.598472
1363343672; 0.515501
1363343673; 0.427380
1363343674; 0.334988
1363343675; 0.239249
1363343676; 0.141120
1363343677; 0.041581
1363343678; 0.058374
1363343679; 0.157746
1363343680; 0.255541
1363343681; 0.350783
1363343682; 0.442520
1363343683; 0.529836
1363343684; 0.611858
1363343685; 0.687766
1363343686; 0.756802
1363343687; 0.818277
1363343688; 0.871576
1363343689; 0.916166
1363343690; 0.951602
1363343691; 0.977530
1363343692; 0.993691
1363343693; 0.999923
1363343694; 0.996165
1363343695; 0.982453
1363343696; 0.958924
1363343697; 0.925815
1363343698; 0.883455
1363343699; 0.832267
1363343700; 0.772764
1363343701; 0.705540
1363343702; 0.631267
1363343703; 0.550686
