times;values
1364921544;255.6390 
1364921545;293.9135 
1364921546;254.5740 
1364921547;292.9493 
1364921548;253.5580 
1364921549;291.9495 
1364921550;252.5582 
1364921551;290.9497 
1364921552;251.5584
1364921553;289.9499 
1364921554;250.5586 
1364921555;288.9501 
1364921556;249.5588 
1364921557;287.9503 
1364921558;248.5590 
1364921559;286.9505 
1364921560;247.5592 
1364921561;285.9507
1364921562;246.5594 
1364921563;284.9509 
1364921564;245.5596 
1364921565;283.9511 
1364921566;244.5598 
1364921567;282.9513 
1364921568;243.5600 
1364921569;281.9515 
1364921570;242.5602
1364921571;280.9517 
1364921572;241.5604 
1364921573;279.9519 
1364921574;240.5606 
1364921575;278.9521 
1364921576;239.5608 
1364921577;277.9523 
1364921578;238.5610 
1364921579;276.9525
1364921580;237.5612 
1364921581;275.9527 
1364921582;236.5614 
1364921583;274.9528 
1364921584;235.5616 
1364921585;273.9530 
1364921586;234.5618 
1364921587;272.9532 
1364921588;233.5620
1364921589;271.9534 
1364921590;232.5622 
1364921591;270.9536 
1364921592;231.5624 
1364921593;269.9538 
1364921594;230.5626 
1364921595;268.9540 
1364921596;229.5628 
1364921597;267.9542
1364921598;228.5630 
1364921599;266.9544 
1364921600;227.5632 
1364921601;265.9546 
1364921602;226.5634 
1364921603;264.9548 
1364921604;225.5636 
1364921605;263.9550 
1364921606;224.5638
1364921607;262.9552 
1364921608;223.5640 
1364921609;261.9554 
1364921610;222.5642 
1364921611;260.9556 
1364921612;221.5644 
1364921613;259.9558 
1364921614;220.5646 
1364921615;258.9560
1364921616;219.5648 
1364921617;257.9562 
1364921618;218.5650 
1364921619;256.9564 
1364921620;217.5652 
1364921621;255.9566 
1364921622;216.5654 
1364921623;254.9568 
1364921624;215.5656
1364921625;253.9570 
1364921626;214.5658 
1364921627;252.9572 
1364921628;213.5660 
1364921629;251.9574 
1364921630;212.5662 
1364921631;250.9576 
1364921632;211.5664 
1364921633;249.9578
1364921634;210.5666 
1364921635;248.9580 
1364921636;209.5668 
1364921637;247.9582 
1364921638;208.5670 
1364921639;246.9584 
1364921640;207.5672 
1364921641;245.9586 
1364921642;206.5674
1364921643;244.9588 
1364921644;205.5676 
1364921645;243.9590 
1364921646;204.5678 
1364921647;242.9592 
1364921648;203.5680 
1364921649;241.9594 
1364921650;202.5682 
1364921651;240.9596
1364921652;201.5684 
1364921653;239.9598 
1364921654;200.5686 
1364921655;238.9600 
1364921656;199.5688 
1364921657;237.9602 
1364921658;198.5690 
1364921659;236.9604 
1364921660;197.5692
1364921661;235.9606 
1364921662;196.5694 
1364921663;234.9608 
1364921664;195.5696 
1364921665;233.9610 
1364921666;194.5698 
1364921667;232.9612 
1364921668;193.5700 
1364921669;231.9614
1364921670;192.5702 
1364921671;230.9616 
1364921672;191.5704 
1364921673;229.9618 
1364921674;190.5706 
1364921675;228.9620 
1364921676;189.5708 
1364921677;227.9622 
1364921678;188.5710
1364921679;226.9624 
1364921680;187.5712 
1364921681;225.9626 
1364921682;186.5714 
1364921683;224.9628 
1364921684;185.5716 
1364921685;223.9630 
1364921686;184.5718 
1364921687;222.9632
1364921688;183.5720 
1364921689;221.9634 
1364921690;182.5722 
1364921691;220.9636 
1364921692;181.5724 
1364921693;219.9638 
1364921694;180.5726 
1364921695;218.9640 
1364921696;179.5728
1364921697;217.9642 
1364921698;178.5730 
1364921699;216.9644 
1364921700;177.5732 
1364921701;215.9646 
1364921702;176.5734 
1364921703;214.9648 
1364921704;175.5736 
1364921705;213.9650
1364921706;174.5738 
1364921707;212.9652 
1364921708;173.5740 
1364921709;211.9654 
1364921710;172.5742 
1364921711;210.9656 
1364921712;171.5744 
1364921713;209.9658 
1364921714;170.5746
1364921715;208.9660 
1364921716;169.5748 
1364921717;207.9662 
1364921718;168.5750 
1364921719;206.9664 
1364921720;167.5752 
1364921721;205.9666 
1364921722;166.5754 
1364921723;204.9668
1364921724;165.5756 
1364921725;203.9670 
1364921726;164.5758 
1364921727;202.9672 
1364921728;163.5760 
1364921729;201.9674 
1364921730;162.5762 
1364921731;200.9676 
1364921732;161.5764
1364921733;199.9678 
1364921734;160.5766 
1364921735;198.9680 
1364921736;159.5768 
1364921737;197.9682 
1364921738;158.5770 
1364921739;196.9684 
1364921740;157.5772 
1364921741;195.9686
1364921742;156.5774 
1364921743;194.9688 
1364921744;155.5776 
1364921745;193.9690 
1364921746;154.5778 
1364921747;192.9692 
1364921748;153.5780 
1364921749;191.9694 
1364921750;152.5782
1364921751;190.9696 
1364921752;151.5784 
1364921753;189.9698 
1364921754;150.5786 
1364921755;188.9700 
1364921756;149.5788 
1364921757;187.9702 
1364921758;148.5790 
1364921759;186.9704
1364921760;147.5792 
1364921761;185.9706 
1364921762;146.5794 
1364921763;184.9708 
1364921764;145.5796 
1364921765;183.9710 
1364921766;144.5798 
1364921767;182.9712 
1364921768;143.5800
1364921769;181.9714 
1364921770;142.5802 
1364921771;180.9716 
1364921772;141.5804 
1364921773;179.9718 
1364921774;140.5806 
1364921775;178.9720 
1364921776;139.5808 
1364921777;177.9722
1364921778;138.5810 
1364921779;176.9724 
1364921780;137.5812 
1364921781;175.9726 
1364921782;136.5814 
1364921783;174.9728 
1364921784;135.5816 
1364921785;173.9730 
1364921786;134.5818
1364921787;172.9732 
1364921788;133.5820 
1364921789;171.9734 
1364921790;132.5822 
1364921791;170.9736 
1364921792;131.5824 
1364921793;169.9738 
1364921794;130.5826 
1364921795;168.9740
1364921796;129.5828 
1364921797;167.9742 
1364921798;128.5830 
1364921799;166.9744 
1364921800;127.5832 
1364921801;165.9746 
1364921802;126.5834 
1364921803;164.9748 
1364921804;125.5836
1364921805;163.9750 
1364921806;124.5838 
1364921807;162.9752 
1364921808;123.5840 
1364921809;161.9754 
1364921810;122.5842 
1364921811;160.9756 
1364921812;121.5844 
1364921813;159.9758
1364921814;120.5846 
1364921815;158.9760 
1364921816;119.5848 
1364921817;157.9762 
1364921818;118.5850 
1364921819;156.9764 
1364921820;117.5852 
1364921821;155.9766 
1364921822;116.5854
1364921823;154.9768 
1364921824;115.5856 
1364921825;153.9770 
1364921826;114.5858 
1364921827;152.9772 
1364921828;113.5860 
1364921829;151.9774 
1364921830;112.5862 
1364921831;150.9776
1364921832;111.5864 
1364921833;149.9778 
1364921834;110.5866 
1364921835;148.9780 
1364921836;109.5868 
1364921837;147.9782 
1364921838;108.5870 
1364921839;146.9784 
1364921840;107.5872
1364921841;145.9786 
1364921842;106.5874 
1364921843;144.9788
