times;values
1362151971;6.770596
1362151972;6.820557
1362151973;6.819114
1362151974;6.855491
1362151975;6.886626
1362151976;6.920947
1362151977;6.954753
1362151978;6.988830
1362151979;7.022858
1362151980;7.056909
1362151981;7.090955
1362151982;7.125003
1362151983;7.159050
1362151984;7.193098
1362151985;7.227146
1362151986;7.261194
1362151987;7.295242
1362151988;7.329289
1362151989;7.363337
1362151990;7.397385
1362151991;7.431433
1362151992;7.465481
1362151993;7.499529
1362151994;7.533576
1362151995;7.567624
1362151996;7.601672
1362151997;7.635720
1362151998;7.669768
1362151999;7.703815
1362152000;7.737863
1362152001;7.771911
1362152002;7.805959
1362152003;7.840007
1362152004;7.874054
1362152005;7.908102
1362152006;7.942150
1362152007;7.976198
1362152008;8.010246
1362152009;8.044294
1362152010;8.078341
1362152011;8.112389
1362152012;8.146437
1362152013;8.180485
1362152014;8.214533
1362152015;8.248580
1362152016;8.282628
1362152017;8.316676
1362152018;8.350724
1362152019;8.384772
1362152020;8.418819
1362152021;8.452867
1362152022;8.486915
1362152023;8.520963
1362152024;8.555011
1362152025;8.589059
1362152026;8.623106
1362152027;8.657154
1362152028;8.691202
1362152029;8.725250
1362152030;8.759298
1362152031;8.793345
1362152032;8.827393
1362152033;8.861441
1362152034;8.895489
1362152035;8.929537
1362152036;8.963584
1362152037;8.997632
1362152038;9.031680
1362152039;9.065728
1362152040;9.099776
1362152041;9.133823
1362152042;9.167871
1362152043;9.201919
1362152044;9.235967
1362152045;9.270015
1362152046;9.304063
1362152047;9.338110
1362152048;9.372158
1362152049;9.406206
1362152050;9.440254
1362152051;9.474302
1362152052;9.508349
1362152053;9.542397
1362152054;9.576445
1362152055;9.610493
1362152056;9.644541
1362152057;9.678588
1362152058;9.712636
1362152059;9.746684
1362152060;9.780732
1362152061;9.814780
1362152062;9.848828
1362152063;9.882875
1362152064;9.916923
1362152065;9.950971
1362152066;9.985019
1362152067;10.019067
1362152068;10.053114
1362152069;10.087162
1362152070;10.121210
1362152071;10.155258
1362152072;10.189306
1362152073;10.223353
1362152074;10.257401
1362152075;10.291449
1362152076;10.325497
1362152077;10.359545
1362152078;10.393593
1362152079;10.427640
1362152080;10.461688
1362152081;10.495736
1362152082;10.529784
1362152083;10.563832
1362152084;10.597879
1362152085;10.631927
1362152086;10.665975
1362152087;10.700023
1362152088;10.734071
1362152089;10.768118
1362152090;10.802166
1362152091;10.836214
1362152092;10.870262
1362152093;10.904310
1362152094;10.938358
1362152095;10.972405
1362152096;11.006453
1362152097;11.040501
1362152098;11.074549
1362152099;11.108597
1362152100;11.142644
1362152101;11.176692
1362152102;11.210740
1362152103;11.244788
1362152104;11.278836
1362152105;11.312883
1362152106;11.346931
1362152107;11.380979
1362152108;11.415027
1362152109;11.449075
1362152110;11.483123
1362152111;11.517170
1362152112;11.551218
1362152113;11.585266
1362152114;11.619314
1362152115;11.653362
1362152116;11.687409
1362152117;11.721457
1362152118;11.755505
1362152119;11.789553
1362152120;11.823601
1362152121;11.857648
1362152122;11.891696
1362152123;11.925744
1362152124;11.959792
1362152125;11.993840
1362152126;12.027888
1362152127;12.061935
1362152128;12.095983
1362152129;12.130031
1362152130;12.164079
1362152131;12.198127
1362152132;12.232174
1362152133;12.266222
1362152134;12.300270
1362152135;12.334318
1362152136;12.368366
1362152137;12.402413
1362152138;12.436461
1362152139;12.470509
1362152140;12.504557
1362152141;12.538605
1362152142;12.572653
1362152143;12.606700
1362152144;12.640748
1362152145;12.674796
1362152146;12.708844
1362152147;12.742892
1362152148;12.776939
1362152149;12.810987
1362152150;12.845035
1362152151;12.879083
1362152152;12.913131
1362152153;12.947178
1362152154;12.981226
1362152155;13.015274
1362152156;13.049322
1362152157;13.083370
1362152158;13.117418
1362152159;13.151465
1362152160;13.185513
1362152161;13.219561
1362152162;13.253609
1362152163;13.287657
1362152164;13.321704
1362152165;13.355752
1362152166;13.389800
1362152167;13.423848
1362152168;13.457896
1362152169;13.491943
1362152170;13.525991
