times;values
1364897080;0.09983342
1364897081;0.19866933
1364897082;0.29552021
1364897083;0.38941834
1364897084;0.47942554
1364897085;0.56464247
1364897086;0.64421769
1364897087;0.71735609
1364897088;0.78332691
1364897089;0.00000000
1364897090;0.09983342
1364897091;0.19866933
1364897092;0.29552021
1364897093;0.38941834
1364897094;0.47942554
1364897095;0.56464247
1364897096;0.64421769
1364897097;0.71735609
1364897098;0.78332691
1364897099;0.00000000
1364897100;0.09983342
1364897101;0.19866933
1364897102;0.29552021
1364897103;0.38941834
1364897104;0.47942554
1364897105;0.56464247
1364897106;0.64421769
1364897107;0.71735609
1364897108;0.78332691
1364897109;0.00000000
1364897110;0.09983342
1364897111;0.19866933
1364897112;0.29552021
1364897113;0.38941834
1364897114;0.47942554
1364897115;0.56464247
1364897116;0.64421769
1364897117;0.71735609
1364897118;0.78332691
1364897119;0.00000000
1364897120;0.09983342
1364897121;0.19866933
1364897122;0.29552021
1364897123;0.38941834
1364897124;0.47942554
1364897125;0.56464247
1364897126;0.64421769
1364897127;0.71735609
1364897128;0.78332691
1364897129;0.00000000
1364897130;0.09983342
1364897131;0.19866933
1364897132;0.29552021
1364897133;0.38941834
1364897134;0.47942554
1364897135;0.56464247
1364897136;0.64421769
1364897137;0.71735609
1364897138;0.78332691
1364897139;0.00000000
1364897140;0.09983342
1364897141;0.19866933
1364897142;0.29552021
1364897143;0.38941834
1364897144;0.47942554
1364897145;0.56464247
1364897146;0.64421769
1364897147;0.71735609
1364897148;0.78332691
1364897149;0.00000000
1364897150;0.09983342
1364897151;0.19866933
1364897152;0.29552021
1364897153;0.38941834
1364897154;0.47942554
1364897155;0.56464247
1364897156;0.64421769
1364897157;0.71735609
1364897158;0.78332691
1364897159;0.00000000
1364897160;0.09983342
1364897161;0.19866933
1364897162;0.29552021
1364897163;0.38941834
1364897164;0.47942554
1364897165;0.56464247
1364897166;0.64421769
1364897167;0.71735609
1364897168;0.78332691
1364897169;0.00000000
1364897170;0.09983342
1364897171;0.19866933
1364897172;0.29552021
1364897173;0.38941834
1364897174;0.47942554
1364897175;0.56464247
1364897176;0.64421769
1364897177;0.71735609
1364897178;0.78332691
1364897179;0.00000000
1364897180;0.09983342
1364897181;0.19866933
1364897182;0.29552021
1364897183;0.38941834
1364897184;0.47942554
1364897185;0.56464247
1364897186;0.64421769
1364897187;0.71735609
1364897188;0.78332691
1364897189;0.00000000
1364897190;0.09983342
1364897191;0.19866933
1364897192;0.29552021
1364897193;0.38941834
1364897194;0.47942554
1364897195;0.56464247
1364897196;0.64421769
1364897197;0.71735609
1364897198;0.78332691
1364897199;0.00000000
1364897200;0.09983342
1364897201;0.19866933
1364897202;0.29552021
1364897203;0.38941834
1364897204;0.47942554
1364897205;0.56464247
1364897206;0.64421769
1364897207;0.71735609
1364897208;0.78332691
1364897209;0.00000000
1364897210;0.09983342
1364897211;0.19866933
1364897212;0.29552021
1364897213;0.38941834
1364897214;0.47942554
1364897215;0.56464247
1364897216;0.64421769
1364897217;0.71735609
1364897218;0.78332691
1364897219;0.00000000
1364897220;0.09983342
1364897221;0.19866933
1364897222;0.29552021
1364897223;0.38941834
1364897224;0.47942554
1364897225;0.56464247
1364897226;0.64421769
1364897227;0.71735609
1364897228;0.78332691
1364897229;0.00000000
1364897230;0.09983342
1364897231;0.19866933
1364897232;0.29552021
1364897233;0.38941834
1364897234;0.47942554
1364897235;0.56464247
1364897236;0.64421769
1364897237;0.71735609
1364897238;0.78332691
1364897239;0.00000000
1364897240;0.09983342
1364897241;0.19866933
1364897242;0.29552021
1364897243;0.38941834
1364897244;0.47942554
1364897245;0.56464247
1364897246;0.64421769
1364897247;0.71735609
1364897248;0.78332691
1364897249;0.00000000
1364897250;0.09983342
1364897251;0.19866933
1364897252;0.29552021
1364897253;0.38941834
1364897254;0.47942554
1364897255;0.56464247
1364897256;0.64421769
1364897257;0.71735609
1364897258;0.78332691
1364897259;0.00000000
1364897260;0.09983342
1364897261;0.19866933
1364897262;0.29552021
1364897263;0.38941834
1364897264;0.47942554
1364897265;0.56464247
1364897266;0.64421769
1364897267;0.71735609
1364897268;0.78332691
1364897269;0.00000000
1364897270;0.09983342
1364897271;0.19866933
1364897272;0.29552021
1364897273;0.38941834
1364897274;0.47942554
1364897275;0.56464247
1364897276;0.64421769
1364897277;0.71735609
1364897278;0.78332691
1364897279;0.00000000
1364897280;0.09983342
1364897281;0.19866933
1364897282;0.29552021
1364897283;0.38941834
1364897284;0.47942554
1364897285;0.56464247
1364897286;0.64421769
1364897287;0.71735609
1364897288;0.78332691
1364897289;0.00000000
1364897290;0.09983342
1364897291;0.19866933
1364897292;0.29552021
1364897293;0.38941834
1364897294;0.47942554
1364897295;0.56464247
1364897296;0.64421769
1364897297;0.71735609
1364897298;0.78332691
1364897299;0.00000000
1364897300;0.09983342
1364897301;0.19866933
1364897302;0.29552021
1364897303;0.38941834
1364897304;0.47942554
1364897305;0.56464247
1364897306;0.64421769
1364897307;0.71735609
1364897308;0.78332691
1364897309;0.00000000
1364897310;0.09983342
1364897311;0.19866933
1364897312;0.29552021
1364897313;0.38941834
1364897314;0.47942554
1364897315;0.56464247
1364897316;0.64421769
1364897317;0.71735609
1364897318;0.78332691
1364897319;0.00000000
1364897320;0.09983342
1364897321;0.19866933
1364897322;0.29552021
1364897323;0.38941834
1364897324;0.47942554
1364897325;0.56464247
1364897326;0.64421769
1364897327;0.71735609
1364897328;0.78332691
1364897329;0.00000000
1364897330;0.09983342
1364897331;0.19866933
1364897332;0.29552021
1364897333;0.38941834
1364897334;0.47942554
1364897335;0.56464247
1364897336;0.64421769
1364897337;0.71735609
1364897338;0.78332691
1364897339;0.00000000
1364897340;0.09983342
1364897341;0.19866933
1364897342;0.29552021
1364897343;0.38941834
1364897344;0.47942554
1364897345;0.56464247
1364897346;0.64421769
1364897347;0.71735609
1364897348;0.78332691
1364897349;0.00000000
1364897350;0.09983342
1364897351;0.19866933
1364897352;0.29552021
1364897353;0.38941834
1364897354;0.47942554
1364897355;0.56464247
1364897356;0.64421769
1364897357;0.71735609
1364897358;0.78332691
1364897359;0.00000000
1364897360;0.09983342
1364897361;0.19866933
1364897362;0.29552021
1364897363;0.38941834
1364897364;0.47942554
1364897365;0.56464247
1364897366;0.64421769
1364897367;0.71735609
1364897368;0.78332691
1364897369;0.00000000
1364897370;0.09983342
1364897371;0.19866933
1364897372;0.29552021
1364897373;0.38941834
1364897374;0.47942554
1364897375;0.56464247
1364897376;0.64421769
1364897377;0.71735609
1364897378;0.78332691
1364897379;0.00000000
1364897380;0.09983342
1364897381;0.19866933
1364897382;0.29552021
1364897383;0.38941834
1364897384;0.47942554
1364897385;0.56464247
1364897386;0.64421769
1364897387;0.71735609
1364897388;0.78332691
1364897389;0.00000000
1364897390;0.09983342
1364897391;0.19866933
1364897392;0.29552021
1364897393;0.38941834
1364897394;0.47942554
1364897395;0.56464247
1364897396;0.64421769
1364897397;0.71735609
1364897398;0.78332691
1364897399;0.00000000
1364897400;0.09983342
1364897401;0.19866933
1364897402;0.29552021
1364897403;0.38941834
1364897404;0.47942554
1364897405;0.56464247
1364897406;0.64421769
1364897407;0.71735609
1364897408;0.78332691
1364897409;0.00000000
1364897410;0.09983342
1364897411;0.19866933
1364897412;0.29552021
1364897413;0.38941834
1364897414;0.47942554
1364897415;0.56464247
1364897416;0.64421769
1364897417;0.71735609
1364897418;0.78332691
1364897419;0.00000000
1364897420;0.09983342
1364897421;0.19866933
1364897422;0.29552021
1364897423;0.38941834
1364897424;0.47942554
1364897425;0.56464247
1364897426;0.64421769
1364897427;0.71735609
1364897428;0.78332691
1364897429;0.00000000
1364897430;0.09983342
1364897431;0.19866933
1364897432;0.29552021
1364897433;0.38941834
