times;values
1362151971;499.999052267465
1362151972;500.099051059331
1362151973;500.199049851197
1362151974;500.299048643063
1362151975;500.399047434929
1362151976;500.499046226794
1362151977;500.59904501866
1362151978;500.699043810526
1362151979;500.799042602392
1362151980;500.899041394258
1362151981;500.999040186123
1362151982;501.099038977989
1362151983;501.199037769855
1362151984;501.299036561721
1362151985;501.399035353587
1362151986;501.499034145452
1362151987;501.599032937318
1362151988;501.699031729184
1362151989;501.79903052105
1362151990;501.899029312916
1362151991;501.999028104781
1362151992;502.099026896647
1362151993;502.199025688513
1362151994;502.299024480379
1362151995;502.399023272245
1362151996;502.49902206411
1362151997;502.599020855976
1362151998;502.699019647842
1362151999;502.799018439708
1362152000;502.899017231574
1362152001;502.99901602344
1362152002;503.099014815305
1362152003;503.199013607171
1362152004;503.299012399037
1362152005;503.399011190903
1362152006;503.499009982769
1362152007;503.599008774634
1362152008;503.6990075665
1362152009;503.799006358366
1362152010;503.899005150232
1362152011;503.999003942098
1362152012;504.099002733963
1362152013;504.199001525829
1362152014;504.299000317695
1362152015;504.398999109561
1362152016;504.498997901427
1362152017;504.598996693292
1362152018;504.698995485158
1362152019;504.798994277024
1362152020;504.89899306889
1362152021;504.998991860756
1362152022;505.098990652621
1362152023;505.198989444487
1362152024;505.298988236353
1362152025;505.398987028219
1362152026;505.498985820085
1362152027;505.59898461195
1362152028;505.698983403816
1362152029;505.798982195682
1362152030;505.898980987548
1362152031;505.998979779414
1362152032;506.098978571279
1362152033;506.198977363145
1362152034;506.298976155011
1362152035;506.398974946877
1362152036;506.498973738743
1362152037;506.598972530608
1362152038;506.698971322474
1362152039;506.79897011434
1362152040;506.898968906206
1362152041;506.998967698072
1362152042;507.098966489937
1362152043;507.198965281803
1362152044;507.298964073669
1362152045;507.398962865535
1362152046;507.498961657401
1362152047;507.598960449266
1362152048;507.698959241132
1362152049;507.798958032998
1362152050;507.898956824864
1362152051;507.99895561673
1362152052;508.098954408595
1362152053;508.198953200461
1362152054;508.298951992327
1362152055;508.398950784193
1362152056;508.498949576059
1362152057;508.598948367924
1362152058;508.69894715979
1362152059;508.798945951656
1362152060;508.898944743522
1362152061;508.998943535388
1362152062;509.098942327253
1362152063;509.198941119119
1362152064;509.298939910985
1362152065;509.398938702851
1362152066;509.498937494717
1362152067;509.598936286582
1362152068;509.698935078448
1362152069;509.798933870314
1362152070;509.89893266218
1362152071;509.998931454046
1362152072;510.098930245911
1362152073;510.198929037777
1362152074;510.298927829643
1362152075;510.398926621509
1362152076;510.498925413375
1362152077;510.598924205241
1362152078;510.698922997106
1362152079;510.798921788972
1362152080;510.898920580838
1362152081;510.998919372704
1362152082;511.09891816457
1362152083;511.198916956435
1362152084;511.298915748301
1362152085;511.398914540167
1362152086;511.498913332033
1362152087;511.598912123899
1362152088;511.698910915764
1362152089;511.79890970763
1362152090;511.898908499496
1362152091;511.998907291362
1362152092;512.098906083228
1362152093;512.198904875093
1362152094;512.298903666959
1362152095;512.398902458825
1362152096;512.498901250691
1362152097;512.598900042557
1362152098;512.698898834422
1362152099;512.798897626288
1362152100;512.898896418154
1362152101;512.99889521002
1362152102;513.098894001886
1362152103;513.198892793751
1362152104;513.298891585617
1362152105;513.398890377483
1362152106;513.498889169349
1362152107;513.598887961215
1362152108;513.69888675308
1362152109;513.798885544946
1362152110;513.898884336812
1362152111;513.998883128678
1362152112;514.098881920544
1362152113;514.198880712409
1362152114;514.298879504275
1362152115;514.398878296141
1362152116;514.498877088007
1362152117;514.598875879873
1362152118;514.698874671738
1362152119;514.798873463604
1362152120;514.89887225547
1362152121;514.998871047336
1362152122;515.098869839202
1362152123;515.198868631067
1362152124;515.298867422933
1362152125;515.398866214799
1362152126;515.498865006665
1362152127;515.598863798531
1362152128;515.698862590397
1362152129;515.798861382262
1362152130;515.898860174128
1362152131;515.998858965994
1362152132;516.09885775786
1362152133;516.198856549726
1362152134;516.298855341591
1362152135;516.398854133457
1362152136;516.498852925323
1362152137;516.598851717189
1362152138;516.698850509055
1362152139;516.79884930092
1362152140;516.898848092786
1362152141;516.998846884652
1362152142;517.098845676518
1362152143;517.198844468384
1362152144;517.298843260249
1362152145;517.398842052115
1362152146;517.498840843981
1362152147;517.598839635847
1362152148;517.698838427713
1362152149;517.798837219578
1362152150;517.898836011444
1362152151;517.99883480331
1362152152;518.098833595176
1362152153;518.198832387042
1362152154;518.298831178907
1362152155;518.398829970773
1362152156;518.498828762639
1362152157;518.598827554505
1362152158;518.698826346371
1362152159;518.798825138236
1362152160;518.898823930102
1362152161;518.998822721968
1362152162;519.098821513834
1362152163;519.1988203057
1362152164;519.298819097565
1362152165;519.398817889431
1362152166;519.498816681297
1362152167;519.598815473163
1362152168;519.698814265029
1362152169;519.798813056894
1362152170;519.89881184876
1362152171;519.998810640626
1362152172;520.098809432492
1362152173;520.198808224358
1362152174;520.298807016223
1362152175;520.398805808089
1362152176;520.498804599955
1362152177;520.598803391821
1362152178;520.698802183687
1362152179;520.798800975552
1362152180;520.898799767418
1362152181;520.998798559284
1362152182;521.09879735115
1362152183;521.198796143016
1362152184;521.298794934881
1362152185;521.398793726747
1362152186;521.498792518613
1362152187;521.598791310479
1362152188;521.698790102345
1362152189;521.79878889421
1362152190;521.898787686076
1362152191;521.998786477942
1362152192;522.098785269808
1362152193;522.198784061674
1362152194;522.298782853539
1362152195;522.398781645405
1362152196;522.498780437271
1362152197;522.598779229137
1362152198;522.698778021003
1362152199;522.798776812868
1362152200;522.898775604734
1362152201;522.9987743966
1362152202;523.098773188466
1362152203;523.198771980332
1362152204;523.298770772197
1362152205;523.398769564063
1362152206;523.498768355929
1362152207;523.598767147795
1362152208;523.698765939661
1362152209;523.798764731526
1362152210;523.898763523392
1362152211;523.998762315258
1362152212;524.098761107124
1362152213;524.19875989899
1362152214;524.298758690855
1362152215;524.398757482721
1362152216;524.498756274587
1362152217;524.598755066453
1362152218;524.698753858319
1362152219;524.798752650184
1362152220;524.89875144205
1362152221;524.998750233916
1362152222;525.098749025782
1362152223;525.198747817648
1362152224;525.298746609514
1362152225;525.398745401379
1362152226;525.498744193245
1362152227;525.598742985111
1362152228;525.698741776977
1362152229;525.798740568843
1362152230;525.898739360708
1362152231;525.998738152574
1362152232;526.09873694444
1362152233;526.198735736306
1362152234;526.298734528172
1362152235;526.398733320037
1362152236;526.498732111903
1362152237;526.598730903769
1362152238;526.698729695635
1362152239;526.798728487501
1362152240;526.898727279366
1362152241;526.998726071232
1362152242;527.098724863098
1362152243;527.198723654964
1362152244;527.29872244683
1362152245;527.398721238695
1362152246;527.498720030561
1362152247;527.598718822427
1362152248;527.698717614293
1362152249;527.798716406159
1362152250;527.898715198024
1362152251;527.99871398989
1362152252;528.098712781756
1362152253;528.198711573622
1362152254;528.298710365488
1362152255;528.398709157353
1362152256;528.498707949219
1362152257;528.598706741085
1362152258;528.698705532951
1362152259;528.798704324817
1362152260;528.898703116682
1362152261;528.998701908548
1362152262;529.098700700414
1362152263;529.19869949228
1362152264;529.298698284146
1362152265;529.398697076011
1362152266;529.498695867877
1362152267;529.598694659743
1362152268;529.698693451609
1362152269;529.798692243475
1362152270;529.89869103534
1362152271;529.998689827206
1362152272;530.098688619072
1362152273;530.198687410938
1362152274;530.298686202804
1362152275;530.398684994669
1362152276;530.498683786535
1362152277;530.598682578401
1362152278;530.698681370267
1362152279;530.798680162133
1362152280;530.898678953998
1362152281;530.998677745864
1362152282;531.09867653773
1362152283;531.198675329596
1362152284;531.298674121462
1362152285;531.398672913327
1362152286;531.498671705193
1362152287;531.598670497059
1362152288;531.698669288925
1362152289;531.798668080791
1362152290;531.898666872656
1362152291;531.998665664522
1362152292;532.098664456388
1362152293;532.198663248254
1362152294;532.29866204012
1362152295;532.398660831985
1362152296;532.498659623851
1362152297;532.598658415717
1362152298;532.698657207583
1362152299;532.798655999449
1362152300;532.898654791314
1362152301;532.99865358318
1362152302;533.098652375046
1362152303;533.198651166912
1362152304;533.298649958778
1362152305;533.398648750643
1362152306;533.498647542509
1362152307;533.598646334375
1362152308;533.698645126241
1362152309;533.798643918107
1362152310;533.898642709972
1362152311;533.998641501838
1362152312;534.098640293704
1362152313;534.19863908557
1362152314;534.298637877436
1362152315;534.398636669301
1362152316;534.498635461167
1362152317;534.598634253033
1362152318;534.698633044899
1362152319;534.798631836765
1362152320;534.89863062863
1362152321;534.998629420496
1362152322;535.098628212362
1362152323;535.198627004228
1362152324;535.298625796094
1362152325;535.398624587959
1362152326;535.498623379825
1362152327;535.598622171691
1362152328;535.698620963557
1362152329;535.798619755423
1362152330;535.898618547288
1362152331;535.998617339154
1362152332;536.09861613102
1362152333;536.198614922886
1362152334;536.298613714752
1362152335;536.398612506617
1362152336;536.498611298483
1362152337;536.598610090349
1362152338;536.698608882215
1362152339;536.798607674081
1362152340;536.898606465947
1362152341;536.998605257812
1362152342;537.098604049678
1362152343;537.198602841544
1362152344;537.29860163341
1362152345;537.398600425276
1362152346;537.498599217141
1362152347;537.598598009007
1362152348;537.698596800873
1362152349;537.798595592739
1362152350;537.898594384605
1362152351;537.99859317647
1362152352;538.098591968336
1362152353;538.198590760202
1362152354;538.298589552068
1362152355;538.398588343934
1362152356;538.498587135799
1362152357;538.598585927665
1362152358;538.698584719531
1362152359;538.798583511397
1362152360;538.898582303263
1362152361;538.998581095128
1362152362;539.098579886994
1362152363;539.19857867886
1362152364;539.298577470726
1362152365;539.398576262592
1362152366;539.498575054457
1362152367;539.598573846323
1362152368;539.698572638189
1362152369;539.798571430055
1362152370;539.898570221921
1362152371;539.998569013786
1362152372;540.098567805652
1362152373;540.198566597518
1362152374;540.298565389384
1362152375;540.39856418125
1362152376;540.498562973115
1362152377;540.598561764981
1362152378;540.698560556847
1362152379;540.798559348713
1362152380;540.898558140579
1362152381;540.998556932444
1362152382;541.09855572431
1362152383;541.198554516176
1362152384;541.298553308042
1362152385;541.398552099908
1362152386;541.498550891773
1362152387;541.598549683639
1362152388;541.698548475505
1362152389;541.798547267371
1362152390;541.898546059237
1362152391;541.998544851102
1362152392;542.098543642968
1362152393;542.198542434834
1362152394;542.2985412267
1362152395;542.398540018566
1362152396;542.498538810431
